Complexity,Loss,Equation
1,126.06387,"4.405559"
3,118.02236,"x1 + 4.3618484"
5,92.02912,"log(abs(x2)) * -5.1207194"
7,67.87836,"5.1260347 * (x1 - log(abs(x2)))"
9,60.91507,"(x5 - (x1 - log(abs(x2)))) * -4.908586"
11,29.29001,"(((x1 * x0) * x0) - log(abs(x2))) * 5.58832"
13,21.889944,"((((x1 * x0) * x0) - log(abs(x2))) - x5) * 5.0552645"
15,11.985264,"((x4 * x3) + ((x0 * (x1 * x0)) - log(abs(x2)))) * 5.318727"
16,11.985263,"((x0 * (x1 * x0)) + ((x3 * x4) - log(abs(abs(x2))))) * 5.318724"
17,6.862337,"((((x1 * x0) * x0) + ((x4 * x3) - log(abs(x2)))) * 5.295867) - x5"
19,2.9307275,"((((((x0 * x0) * x1) + (x4 * x3)) - log(abs(x2))) * 1.7913824) - x5) * 2.9318857"
21,2.615361,"((x3 * x4) + ((x0 * (x0 * x1)) - (((x5 * -0.5904586) - log(abs(x2))) * -0.90330523))) * 5.4862227"
23,2.6153557,"(((x4 * x3) + (((x0 * x0) * x1) - ((x5 * 0.5333603) - (log(abs(x2)) * -0.90309316)))) * 5.486374) + 0.0031485597"
25,2.4724028,"(x1 * 0.44257668) + ((((x3 * x4) - ((x5 * 0.5460452) - (log(abs(x2)) * -0.9286848))) + (x0 * (x1 * x0))) * 5.348046)"
26,2.1192567,"((((x4 * x3) + ((x0 * x1) * x0)) - (((x5 * -0.59643376) - log(abs(x2))) * -1.0388477)) * 4.803756) + (x1 * abs(x0))"
27,1.4029814,"((((x3 * x4) + ((x0 * x0) * x1)) - (((x5 * -0.5965096) - log(abs(x2))) * -1.0386171)) * 4.8037996) + ((x1 * x0) * x0)"
29,1.391745,"(((((x0 * x0) * x1) + (x3 * x4)) * 4.7997966) - (((x5 * -0.59888834) - log(abs(x2))) * -4.971509)) + ((x0 * (x1 - -0.06425352)) * x0)"
