Complexity,Loss,Equation
1,155.46732,"4.4925437"
3,135.68251,"x1 * 6.5007057"
5,119.93443,"(x1 * 6.149999) + 3.984306"
6,82.25465,"(abs(x0) * x1) * 10.046742"
7,68.6271,"((x0 * x1) * 6.3567634) * x0"
9,57.889267,"(x1 * ((x0 * x0) * 6.113457)) + 3.3011699"
11,54.132046,"(3.1916206 - x5) + ((x1 * (x0 * x0)) * 6.052923)"
12,38.08156,"(((x0 * (x1 * x0)) + 1.31506) - abs(x2)) * 6.3529043"
14,34.394676,"((((x1 * (x0 * x0)) + 1.3020105) - abs(x2)) * 6.2985497) - x5"
16,32.530003,"(((((x0 * (x0 * x1)) + 1.2886692) - abs(x2)) * 6.2443857) - x5) - x5"
18,31.608366,"((((x0 * x0) * x1) - (x5 * 0.42185038)) * 6.0511417) + (9.018533 - abs(x2 * 7.490774))"
20,31.04835,"((((x0 * (x1 * x0)) - (x5 * 0.43391448)) * 6.043107) + x12) + (9.059393 - abs(x2 * 7.536752))"
21,30.317556,"(((((x0 * 6.1126776) * x1) * x0) - (x5 * 2.688988)) + abs(18.6944 - abs(x2 * -9.166929))) + -8.738747"
23,29.682253,"(((x0 * (x1 * (x0 * 6.1633997))) - (x5 * (2.556701 - x0))) + -8.632727) + abs(abs(x2 * 9.2443075) - 18.710815)"
24,28.618443,"(((((x0 * x0) * 6.161392) * x1) - (x5 * 2.7292852)) + abs(abs(22.832863 - abs(x2 * -10.431412)) - 4.9145427)) + -7.241689"
26,28.184864,"abs(abs(abs(x2 * -10.53735) - 23.02865) - 5.07658) + ((((x0 + -0.11062741) * (x0 * (x1 * 6.1954107))) + -7.248401) - (x5 * 2.707746))"
29,28.14748,"((abs(abs(x2 * 9.230451) - (18.813942 - x6)) + -8.567264) + (((x0 * 6.1827817) * x1) * x0)) + (x12 - ((2.6467164 - (x24 + x0)) * x5))"
30,28.114008,"abs((18.808847 - x6) - abs(x2 * 9.229196)) + (((x0 * ((x0 * 6.1500964) * x1)) + (x12 - (x5 * abs(x0 + (x24 - 2.6516654))))) + -8.569558)"
