Complexity,Loss,Equation
1,155.3706,"3.4614186"
3,125.28354,"x1 * 6.6725287"
5,116.15053,"3.0298607 - (x1 * -6.4578977)"
6,80.95376,"(abs(x0) * 9.852584) * x1"
7,70.48876,"x0 * ((x1 * 6.334145) * x0)"
8,68.61259,"((x1 * 9.873257) * abs(x0)) - -3.5130692"
9,56.574936,"((x1 * x0) * (x0 * 6.399206)) - -3.7314599"
11,51.32295,"(((x1 * (x0 * x0)) * 6.4103384) - x5) - -3.6661515"
12,36.591175,"(((x1 * x0) * x0) - (abs(x2) + -1.3556392)) * 6.3924637"
14,28.339113,"(x0 * (x1 * (x0 * 6.0855446))) - (log(x2 * x2) * 2.6620374)"
16,19.686518,"((x1 * (x0 * 6.1202307)) * x0) - ((log(x2 * x2) + x5) * 2.6471565)"
18,19.391834,"((x1 * ((x0 * 6.0944185) * x0)) - ((x5 + log(x2 * x2)) * 2.6657786)) + x45"
20,19.24789,"(((x5 * -3.0332167) + (x0 * (x0 * (x1 * 6.1367946)))) - (log(x2 * x2) * 2.6161828)) + x45"
22,19.032585,"((x6 + -3.096466) * x5) + (x45 + ((((x0 * x1) * x0) * 6.14936) - (log(x2 * x2) * 2.598573)))"
23,18.059036,"((x5 * -2.9909909) + ((abs(x3) * x45) + (x0 * (x0 * (x1 * 6.1034746))))) - (log(x2 * x2) * 2.615264)"
25,17.94359,"((x5 * -2.9965763) + (((x45 - -0.36050722) * abs(x3)) + (((x1 * x0) * x0) * 6.110436))) - (log(x2 * x2) * 2.5549316)"
27,17.90704,"((((x45 - -0.57628626) * abs(x3)) + ((((x1 * x0) * x0) * 6.1022043) - (log(x2 * x2) * 2.5900967))) - 0.32941106) + (x5 * -3.0107205)"
29,17.726105,"(((abs(x3) * (x45 - -0.5347743)) + ((x1 * ((x0 * x0) * 6.1160445)) - (log(x2 * x2) * 2.5683527))) + ((x6 + -3.0710704) * x5)) + -0.27775288"
30,17.608458,"(((abs(x3) * x45) + ((x1 * 6.0740557) * (x0 * x0))) - (log(x2 * x2) * 2.6265361)) + ((x5 * -3.0044045) - (abs(x15) * (x3 * x1)))"
