Complexity,Loss,Equation
1,126.06387,"4.40535"
3,118.02236,"x1 + 4.363277"
5,105.32994,"(x1 * 4.5957723) + 4.208716"
6,92.02912,"log(abs(abs(x2))) * -5.1207194"
7,67.87836,"(x1 - log(abs(x2))) * 5.126042"
9,60.64806,"4.810766 * ((x1 - log(abs(x2))) - x5)"
11,59.484856,"((x1 - log(abs(x2))) - (x5 + -0.2285325)) * 4.3425703"
12,58.18938,"x5 + (((x1 - log(abs(x2))) - x5) * abs(4.810766))"
13,58.181507,"(x24 + (4.810766 * ((x1 - log(abs(x2))) - x5))) + x5"
14,57.71997,"x5 + (abs(4.810766) * (((x1 - log(abs(x2))) - x5) + 0.1492101))"
15,57.614597,"(abs(x1) + x5) + (((x1 - log(abs(x2))) - x5) * abs(4.810766))"
17,57.596207,"(x5 + ((((x1 - log(abs(x2))) - x5) * abs(4.810766)) + 0.3141788)) + abs(x26)"
