Complexity,Loss,Equation
1,126.06387,"4.4055605"
3,118.02236,"x1 - -4.3632784"
5,92.02912,"log(abs(x2)) * -5.1207194"
7,67.87836,"(x1 - log(abs(x2))) * 5.1260357"
9,60.32258,"((x1 - log(abs(x2))) - x5) * 4.530921"
11,29.290012,"(((x1 * x0) * x0) - log(abs(x2))) * 5.5882363"
12,29.29001,"((x0 * (x1 * x0)) - log(abs(abs(x2)))) * 5.58832"
13,21.889944,"(((x0 * (x0 * x1)) - log(abs(x2))) - x5) * 5.0552726"
15,11.985264,"((x0 * (x1 * x0)) + ((x3 * x4) - log(abs(x2)))) * 5.3186307"
17,6.862337,"(((x0 * (x0 * x1)) + ((x4 * x3) - log(abs(x2)))) * 5.296326) - x5"
19,2.9307275,"((((x4 * x3) - (x5 * 0.55826676)) + (x1 * (x0 * x0))) - log(abs(x2))) * 5.2522316"
21,2.1392393,"((((x0 * (x0 * x1)) - log(abs(x2))) - (x5 * 0.5473247)) + ((x3 * x4) * 0.79791725)) * 5.4646797"
25,1.4150711,"(((x3 * ((x4 - -0.040328182) + -0.043826956)) - log(abs(x2))) + (((x1 * (x0 * x0)) - (x5 * 0.49797347)) * 1.244958)) * 4.8034987"
27,1.4051203,"(((x3 * ((x4 - -0.040328182) + -0.043826956)) - log(abs(x2))) + (((((x1 * x0) * x0) - (x5 * 0.49797347)) - -0.016734615) * 1.244958)) * 4.8034987"
