Complexity,Loss,Equation
1,1.4647741,"0.043950472"
3,0.009407545,"x0 * x1"
5,0.00856889,"x1 * (x0 * 0.97657937)"
7,0.00848677,"((x0 + -0.009730603) * x1) * 0.97951126"
9,0.008452998,"((x0 * 0.4395878) * (-0.0106540015 - x1)) * -2.2150342"
13,0.00842668,"((((x1 * 0.006893655) - 1.5784582) * (-0.015221345 - x1)) * 0.6185998) * x0"
15,0.008278622,"x1 * ((((x0 * (x0 * -1.7314234)) * -0.0074820626) + (x0 * 1.3305784)) * 0.7254592)"
17,0.008061176,"(x0 * ((x1 * ((((x0 + x0) * -0.49451807) + 0.9598128) + x0)) + 0.013913834)) - 0.009226302"
18,0.007907032,"(0.013913834 + (((x0 + 0.9598128) + ((x0 + x0) * -0.49451807)) * x1)) * (x0 - abs(0.009226302))"
21,0.007778193,"((((x0 + ((x0 + x0) * -1.0031438)) + (x0 + -0.3473975)) * ((x0 * -2.8126626) + 2.0654867)) + 0.68917996) * x1"
