Complexity,Loss,Equation
1,189.52193,"3.927161"
3,161.94414,"x1 * 6.344919"
5,147.97043,"(x1 - -0.5995271) * 6.237726"
8,147.08281,"(x1 - (abs(x37) * -0.65427583)) * 6.1167445"
9,141.03828,"x1 + (((x1 - x5) + 1.1014259) * 2.7495546)"
11,136.82901,"x1 + ((x1 + ((x1 - x5) + 0.7648477)) * 2.807889)"
13,134.23323,"x1 + (((x1 + ((x1 - x5) + 0.7648477)) * 2.807889) + 1.6112192)"
15,133.48239,"((((((x1 + x1) - x5) + 0.5523811) * 3.2042663) + 2.4448504) - 0.9983072) + 0.55363506"
17,133.17493,"((x1 + (((x1 + -1.6069064) + (x1 - x5)) + 3.5955615)) - (x5 + x18)) * 1.9508457"
19,131.46024,"(((x1 + (((x1 + x1) + (x1 - x5)) + 2.4259422)) - (x5 + x18)) * 1.6088254) + x40"
25,89.17533,"(((x1 - -3.9066665) + (abs(x18 * abs(x0)) * (x1 - -0.6719905))) - (((abs(abs(x0)) * x1) - 0.3956141) * -5.194099)) * 1.3958547"
