Complexity,Loss,Equation
1,1.4647741,"0.04395048"
3,0.009407545,"x0 * x1"
5,0.00856889,"x0 * (x1 * 0.9765936)"
7,0.008452998,"(x0 * 0.97370315) * (x1 + 0.010643057)"
9,0.008278621,"(x1 * (0.9652803 - (x0 * -0.009397796))) * x0"
10,0.007454944,"x1 * (abs((x0 * 0.9907663) + 1.6568584) - 1.6778283)"
22,0.0072483183,"(((x0 + -0.054214515) + abs((abs(x1 * ((0.02370629 - abs(x1)) * -0.045110073)) - 0.11555323) * x0)) * x1) * 0.97615457"
23,0.0072168894,"abs(x1) + ((((((x1 * -0.97862697) - 0.008174348) * (1.4135072 - x0)) - abs(x1 + -0.07140798)) - -0.01002083) + (x1 * 1.3155928))"
28,0.007193365,"((x0 + (abs((abs(((((x2 + -0.08547895) * x2) - abs(x1)) * x1) * -0.02479285) - 0.10117306) * x0) + -0.053516716)) * (x1 * 0.9501919)) + -0.00040299425"
30,0.007179631,"((((x0 + -0.05279659) + abs((abs(((((x2 + -0.0854966) * (x2 + -0.050451577)) - abs(x1)) * x1) * -0.024354823) - 0.098545946) * x0)) * x1) * 0.95296675) + -0.002779463"
