Complexity,Loss,Equation
1,126.06387,"4.40535"
3,118.02236,"x1 + 4.363276"
5,92.02912,"log(abs(x2)) * -5.120717"
7,67.87836,"(x1 - log(abs(x2))) * 5.1260386"
9,60.32258,"((x1 - log(abs(x2))) - x5) * 4.530751"
10,44.613583,"((abs(x0) * x1) - log(abs(x2))) * 6.0386033"
11,29.290012,"((x1 * (x0 * x0)) - log(abs(x2))) * 5.588317"
13,21.889946,"(((x1 * (x0 * x0)) - x5) - log(abs(x2))) * 5.0547214"
15,17.758284,"(x5 * -3.3056796) + ((((x0 * x0) * x1) - log(abs(x2))) * 5.561523)"
17,16.16722,"4.2470713 * ((x3 * x4) + (((x0 * x1) * x0) + (-1.208044 * log(abs(x2)))))"
19,8.268679,"4.2470713 * ((((x3 * x4) + ((x0 * x1) * x0)) + (-1.208044 * log(abs(x2)))) - x5)"
21,2.0455854,"(((x4 * x3) + ((log(abs(x2)) * -1.3873473) - x5)) + (x0 * ((x1 * x0) * 1.6525935))) * 3.6260774"
23,1.2117467,"((x3 * x4) * 4.404706) + (((log(abs(x2)) * -1.666676) + (((x0 * x1) * (x0 * 1.9929217)) - x5)) * 3.0055218)"
25,1.210936,"((4.4043474 * x3) * x4) + ((((1.9916749 * ((x0 * x0) - 0.0043681944)) * x1) + ((log(abs(x2)) * -1.665358) - x5)) * 3.0072634)"
27,1.200285,"((((((x1 * (x0 * 1.9893684)) * x0) + (log(abs(x2)) * -1.6664193)) - x5) * 3.0084813) + -0.02266841) + (x4 * ((x3 * 4.4293966) + 0.11031343))"
30,1.1960659,"((((((x1 * 1.9851528) * (x0 * x0)) + (log(abs(x2)) * -1.6639044)) + abs(2.3178198 - x5)) * 3.0131226) + (((x3 + 0.02483885) * 4.4290175) * x4)) - 7.0086665"
