Complexity,Loss,Equation
1,155.46732,"4.4925447"
3,135.68251,"x1 * 6.5007057"
5,119.93443,"(x1 * 6.149999) + 3.984306"
6,82.25465,"x1 * abs(x0 * 10.046744)"
7,68.6271,"(x1 * (x0 * x0)) * 6.3567576"
9,57.889263,"(((x1 * x0) * x0) * 6.11378) + 3.3008478"
11,54.132046,"(x0 * ((x0 * 6.0528703) * x1)) - (x5 + -3.1916225)"
12,38.08156,"((((x0 * x1) * x0) - abs(x2)) * 6.352816) - -8.35437"
14,34.394676,"((((x0 * x0) * x1) - abs(x2)) * 6.298587) - (x5 + -8.200515)"
16,32.280518,"(((((x0 * x0) * x1) - abs(x2)) * 2.4627733) - (x5 + -3.156215)) * 2.5239422"
18,31.886015,"((((x0 * x0) * 6.0845942) * x1) - ((abs(x2) * 7.492956) + x5)) - (x5 + -9.080347)"
19,31.886013,"((x0 * ((x0 * 6.084777) * x1)) - (abs(abs(x2 * 7.4935627)) + x5)) - (x5 + -9.081275)"
20,31.400772,"((x12 - (x5 + -9.129661)) + ((x0 * x0) * (x1 * 6.080798))) - (x5 + abs(x2 * 7.53963))"
21,30.317562,"abs(abs(x2 * 9.166509) + -18.692982) + (((x0 * ((x1 * x0) * 6.112652)) - 8.737704) - (x5 * 2.6885793))"
22,29.442444,"abs(abs(x2 * 25.303766) + -6.7788506) + ((x0 * ((x1 * x0) * 6.199483)) - (abs(x2 * 30.249565) + -12.751911))"
24,25.218555,"((x0 * x0) * (x1 * 6.1404905)) + (abs(abs(x2 * 25.829662) + -6.974361) - ((x5 + -12.715386) + abs(x2 * 30.681656)))"
25,25.21854,"(x1 * ((x0 * 6.140738) * x0)) + (abs(abs(x2 * 25.751692) + -6.9639163) - ((x5 + abs(abs(x2) * -30.603617)) + -12.7048025))"
26,22.161457,"abs(abs(x2 * 26.604736) + -7.3082404) + ((((x0 * (x0 * 6.0312886)) * x1) - (abs(x2 * 31.282852) + -12.621602)) - (x5 * 2.8405585))"
28,21.644068,"(abs(abs(x2 * 26.569923) + -7.3062606) + ((x0 * (x0 * (x1 * 6.066747))) - (abs(x2 * 31.299719) + -12.749346))) - (x5 * (2.7832544 - x0))"
30,21.177032,"(((x12 + abs(abs(x2 * 25.67234) + -7.220263)) + (x0 * ((x0 * 6.073907) * x1))) - (abs(x2 * 30.37711) + -12.623497)) - (x5 * (2.7758377 - x0))"
