Complexity,Loss,Equation
1,184.48549,"2.741597"
3,147.20374,"x1 * 6.8161464"
5,138.29373,"(x1 - -0.4311785) * 6.9275417"
6,85.74837,"x1 * abs(x0 * 9.811519)"
7,69.6355,"(x0 * x1) * (x0 * 5.9967494)"
9,62.080753,"(x0 * ((x0 * x1) * 5.997336)) + 2.7485974"
11,34.60982,"((x0 * (x0 * x1)) - log(abs(x2))) * 5.4262652"
12,34.609814,"((x1 * (x0 * x0)) - log(abs(abs(x2)))) * 5.4263763"
13,29.855928,"(((x0 * (x0 * x1)) - log(abs(x2))) * 5.4405947) - x5"
15,26.965792,"(((((x0 * x1) * x0) - log(abs(x2))) * 5.4262652) - x5) - x5"
17,24.929283,"((x0 * (x1 * (x0 * 5.7972093))) - (x5 * 3.0104098)) - (log(abs(x2)) * 4.8225055)"
19,7.624198,"(((((x1 * x0) * x0) - (x3 * (-0.036085248 - x4))) - log(abs(x2))) * 5.685175) - x5"
21,6.7613096,"(((((x1 * x0) * x0) - ((-0.036085248 - x4) * x3)) * 5.685175) - (log(abs(x2)) * 4.902151)) - x5"
23,2.5776978,"((((log(abs(x2)) * -1.2954335) - x5) + (x0 * ((x0 * 1.5430458) * x1))) - (x4 * (-0.019196603 - x3))) * 3.8596015"
25,1.4838002,"x5 + (4.316834 * (((((x1 * x0) * (1.3843718 * x0)) - (x4 * (-0.0052282475 - x3))) + (log(abs(x2)) * -1.1518207)) - x5))"
27,1.4816914,"(x5 - -0.045895617) + ((((x0 * ((x1 * x0) * 1.3843718)) - (x4 * (-0.0052282475 - x3))) + ((log(abs(x2)) * -1.1518207) - x5)) * 4.316834)"
29,1.4816911,"(x5 + 2.422758) + (((((log(abs(x2)) * -1.1518967) - (x5 - -0.5506277)) + ((x0 * x1) * (x0 * 1.3844627))) - ((-0.005232075 - x3) * x4)) * 4.316563)"
