Complexity,Loss,Equation
1,1.4647741,"0.04395048"
3,0.009407545,"x1 * x0"
5,0.0085688885,"x0 * (x1 * 0.9765789)"
7,0.008486774,"((x0 + -0.009752407) * x1) * 0.9795364"
9,0.008452998,"x0 * ((x1 - (x1 * 0.026299706)) + 0.010363024)"
11,0.00838591,"(x0 - 0.008840607) * ((x1 - (x1 * 0.023449965)) + 0.00972428)"
17,0.008253246,"(((x1 * 1.4303765) * (((x0 * (-1.4433817 - x0)) * 0.010510947) - x0)) * -0.6643859) - 0.0051605585"
19,0.0081331,"(((x1 * 1.4303765) * ((((x0 - 0.44017258) * (-1.4433817 - x0)) * 0.010510947) - x0)) * -0.6643859) - 0.0051605585"
20,0.007802163,"((x0 - 0.078201145) * x1) - (x1 * (abs((((x0 * 1.1302221) - -0.75862795) + -1.4665623) - 0.19613561) * -0.0516402))"
21,0.007687695,"(x1 - ((x1 * ((((x1 * -0.053259928) - 0.58647275) - (x0 * -0.30254215)) * -0.062356092)) + -0.016456706)) * (x0 - 0.030373676)"
