Complexity,Loss,Equation
1,170.49048,"2.6501598"
3,142.26108,"x1 * 6.0290766"
5,133.72939,"(x1 * 6.159212) + 2.923842"
6,88.02257,"(abs(x0) * x1) * 9.540829"
7,71.69972,"((x0 * x0) * x1) * 6.009462"
9,64.1985,"((x0 * 6.02301) * (x0 * x1)) - -2.7387357"
11,35.680424,"((x0 * (x1 * x0)) - log(abs(x2))) * 5.4012403"
13,31.137444,"(((x1 * (x0 * x0)) - log(abs(x2))) * 5.420899) - x5"
15,27.504005,"(((x1 * (x0 * x0)) - log(abs(x2))) * 5.4602685) - (x5 * 2.9994853)"
17,11.890327,"(((x3 * x4) + (x0 * (x0 * x1))) * 5.939466) - (log(abs(x2)) * 4.6422615)"
19,9.481808,"(((x4 * x3) * 4.567717) + ((x0 * (x0 * x1)) * 5.939457)) - (log(abs(x2)) * 4.885379)"
21,4.9418826,"(((4.5747137 * x4) * x3) + ((((x1 * x0) * x0) * 5.9372425) - (log(abs(x2)) * 4.8850026))) - x5"
23,1.3053207,"(((((x0 * 1.2016071) * (x1 * x0)) - log(abs(x2))) * 4.976714) - (x5 * 3.0000844)) + ((x4 * x3) * 4.5774536)"
27,1.2954571,"(((((x0 * x0) * x1) * 5.9771905) - (log(abs(x2)) * 4.9762025)) - (x5 * 3.0009124)) + (((x3 + x3) * 2.2932699) * (x4 + 0.02114648))"
29,1.2952937,"(((x3 * 2.29359) * (x4 + (x4 - -0.04221514))) + ((x0 * ((x0 * x1) * 5.9775295)) - (log(abs(x2)) * 4.970734))) - ((x5 * 3.0008073) + -0.014656246)"
