Complexity,Loss,Equation
1,155.46732,"4.492538"
3,135.6825,"x1 * 6.500467"
5,119.93443,"(x1 * 6.149999) + 3.984306"
6,82.25465,"(x1 * abs(x0)) * 10.046746"
7,68.6271,"(x0 * x0) * (x1 * 6.3567653)"
9,57.889267,"(x1 * ((x0 * 6.11346) * x0)) + 3.3006468"
11,54.13205,"(x1 * ((x0 * x0) * 6.0528874)) + (3.1916566 - x5)"
12,42.25476,"(abs(x0 * 9.85131) * x1) + (log(abs(x2)) * -4.9636188)"
13,29.128365,"(log(abs(x2)) * -4.932738) + (((x1 * x0) * x0) * 6.235138)"
15,24.835081,"(((log(abs(x2)) * -0.7982486) + ((x0 * x0) * x1)) * 6.1667976) - x5"
17,21.751402,"(((x0 * (x0 * 6.0417433)) * x1) + (log(abs(x2)) * -4.904163)) - (x5 * 2.8291454)"
19,21.388391,"((log(abs(x2)) * -4.901935) + ((((x0 - 0.10349655) * 6.0626802) * x0) * x1)) - (x5 * 2.8108325)"
20,21.38612,"(abs((x0 - 0.10639766) * (x0 * 6.067559)) * x1) + ((log(abs(x2)) * -4.933577) - (x5 * 2.8195064))"
21,5.0718675,"(((((log(abs(x2)) * -0.8102047) + ((x0 * x1) * x0)) * 1.3593177) + (x4 * x3)) * 4.5221734) - x5"
23,2.2315505,"(((log(abs(x2)) * -0.819098) + ((x0 * x1) * x0)) * 6.06939) + (((x4 * (x3 * 4.549341)) - x5) - x5)"
25,2.1836069,"((((log(abs(x2)) * -0.80564034) + (x0 * (x1 * x0))) * 6.053097) + (((x4 * (x3 * 4.558124)) - x5) - x5)) - -0.2520692"
