Complexity,Loss,Equation
1,155.85683,"3.076877"
3,140.10739,"x1 * 5.055128"
5,121.30835,"log(abs(x2)) * -4.860014"
6,94.0717,"x1 * abs(x0 * 9.097901)"
7,76.048256,"x0 * (x1 * (x0 * 5.9458184))"
9,65.38984,"(x1 * (x0 * (x0 * 5.9867077))) + 3.2653322"
11,60.40044,"((x0 * (x1 * 5.998542)) * x0) + (3.2277024 - x5)"
12,60.071045,"(4.0576887 - (((x1 * -6.0012717) * x0) * x0)) - abs(x2)"
13,28.966597,"(log(abs(x2)) * -5.0277696) - ((x0 * (x1 * x0)) * -6.048935)"
15,24.099749,"((log(abs(x2)) * -5.0277696) - (((x1 * x0) * -6.048935) * x0)) - x5"
17,22.335884,"(log(abs(x2)) * (x5 - 4.9117208)) - (((x0 * x0) * (x1 * -6.085044)) + x5)"
19,20.207352,"(((3.124832 - ((x0 * x0) * x1)) * (-5.987846 - x5)) + (log(abs(x2)) * -5.0433393)) - -18.395725"
21,19.661417,"((log(abs(x2)) * -5.0637584) + ((-15.558986 - x5) * ((8.026995 - (x0 * (x1 * x0))) * 0.38868073))) - -48.235302"
23,19.624302,"((log(abs(x2)) * -5.033157) - -40.93528) + (0.42228052 * (((-14.123608 - x5) * (6.934473 - (x1 * (x0 * x0)))) - x40))"
25,19.558338,"(((((7.2715135 - ((x0 * x1) * x0)) * (-14.082649 - x5)) - x40) * 0.4270585) + ((log(abs(x2)) * -5.0675325) - -42.11772)) + 1.3418715"
26,19.480045,"(((((6.9772267 - ((x1 * x0) * x0)) * (-13.6285925 - x5)) - x40) * 0.44168147) + ((log(abs(x2)) * -5.062507) - -41.182224)) + abs(x20)"
27,17.799147,"(((((-19.345953 - x5) * ((9.91767 - (x0 * (x1 * x0))) * 0.31349602)) + 11.478544) - (x3 * x3)) + (log(abs(x2)) * -4.9592433)) - -49.392395"
29,17.798922,"((((((-19.26942 - x5) * 0.31480598) * (9.879521 - ((x1 * x0) * x0))) + 9.312437) - (x3 * x3)) + ((log(abs(x2)) * -4.9581046) - -49.333775)) + 2.0065887"
