Complexity,Loss,Equation
1,20.360558,"-0.19977145"
3,15.381416,"x4 * x3"
5,11.067506,"x3 * (x4 * 3.1242304)"
7,8.669865,"((x4 * 3.12064) * x3) + x1"
9,7.537708,"((x1 * x0) * x0) + (x4 * x3)"
10,2.6747246,"((abs(x0) * x1) + (x4 * x3)) * 3.0804343"
11,1.6527909,"((x0 * (x1 * x0)) + (x3 * x4)) * 2.2741246"
13,1.0182282,"(((x0 * x0) * x1) * 1.9970493) + ((x4 * x3) * 2.9740467)"
15,1.0144706,"((x4 * x3) * 2.9708781) + ((((x0 * 2.000377) * x1) + 0.0632239) * x0)"
17,1.0036275,"(((x4 * x3) + ((x0 * x1) * (x0 * 0.672384))) - (x5 * 0.042047072)) * 2.9725034"
19,0.99862754,"((x3 * (x4 * 2.9687698)) - (x5 * 0.13067698)) + (((x1 * (x0 * 2.0025558)) + 0.07313591) * x0)"
20,0.98633975,"(((x4 * x3) + (x1 * (x0 * (x0 * 0.6735949)))) - (abs(x14) * (x5 * 0.06473679))) * 2.9713042"
21,0.9855145,"((x3 * x4) * 2.9741318) + (((x1 * (x0 * x0)) * 2.0023267) - ((x14 * x14) * (x5 * 0.11202928)))"
22,0.98138934,"(((((x1 * x0) * 2.0053709) + 0.072692946) * x0) + (x4 * (x3 * 2.9676192))) - (abs(x14) * (x5 * 0.19620055))"
23,0.9777709,"(x0 * (x1 * (x0 * 2.0014877))) + (((x4 * x3) * 2.9733357) - (x5 * (((x14 * x14) + x7) * 0.11184732)))"
24,0.9772966,"(((x3 + -0.022277093) * (x4 * 2.9716165)) - ((x5 * 0.19766656) * abs(x14))) + (x0 * (((x0 * 2.0014036) * x1) + 0.07151821))"
25,0.97729653,"((x0 * (((x0 * 2.0014036) * x1) + 0.07151821)) + ((x4 * (x3 + -0.022277093)) * 2.9716165)) - (x5 * (0.19766656 * abs(abs(x14))))"
26,0.96859527,"(((x0 * 2.002009) * x1) * x0) + (((x4 * 2.973475) * x3) - (x5 * abs(((x48 * (x30 + x34)) + x14) * 0.15253809)))"
27,0.9680563,"((x0 * 2.0019743) * (x0 * x1)) + (((x4 * 2.978305) * x3) - ((x5 * 0.1566995) * abs((abs(x48) * (x30 + x34)) + x14)))"
28,0.962591,"(((x0 * 2.0028265) * (x1 * x0)) + ((x4 * 2.9787543) * x3)) - ((x5 * 0.124101155) * abs((x14 * x14) + (x48 * (x34 + x30))))"
30,0.96004725,"(((x0 * 2.0019743) * x0) * x1) + (((x4 * x3) * 2.978305) - ((x5 * 0.1566995) * abs((x48 * (x30 + x34)) + (x14 * (x14 * 0.681895)))))"
