Complexity,Loss,Equation
1,113.87555,"2.8685231"
3,101.814575,"x1 * 4.626662"
5,87.59296,"log(abs(x2)) * -5.007994"
6,73.59389,"(x1 * 8.116616) * abs(x0)"
7,64.578705,"((x1 * x0) * x0) * 5.8470974"
9,56.799736,"((x0 * 5.8249106) * (x0 * x1)) - -2.7893236"
11,29.220312,"((x0 * (x1 * x0)) - log(abs(x2))) * 5.5522866"
13,24.249815,"((((x0 * x1) * x0) - log(abs(x2))) * 5.5856953) - x5"
15,20.651018,"((((x0 * (x0 * x1)) - log(abs(x2))) * 1.9872317) - x5) * 2.8415432"
17,16.850798,"(x3 * (x4 + x4)) - (-5.668039 * ((x0 * (x1 * x0)) - log(abs(x2))))"
19,7.8994117,"(((x5 - ((x0 * (x0 * x1)) - log(abs(x2)))) * -1.3772438) + (x4 * x3)) * 3.6749096"
21,1.8989446,"((x5 - (((x0 * (x0 * x1)) - log(abs(x2))) * 1.8147515)) * -3.0853817) + ((x3 * 4.43148) * x4)"
23,1.7589483,"((x3 * x4) * 4.4092975) + (((x5 - (((x0 * (x0 * x1)) - log(abs(x2))) * 1.8508524)) * -3.0712717) + -0.40329167)"
24,1.758948,"((x5 - ((((x0 * x0) * x1) - log(abs(abs(x2)))) * 1.850851)) * -3.071268) + ((x3 * (x4 * 4.409293)) + -0.4032845)"
25,1.7566979,"(((x5 - (((x0 * (x1 * x0)) - log(abs(x2))) * 1.8514148)) * -3.0711694) + (((x3 * 4.4118667) + -0.047651827) * x4)) + -0.40183327"
26,1.4232723,"((x5 - (((x1 * (x0 * x0)) - log(abs(x2))) * 1.89747)) * -3.0902169) + ((abs(x2) + (x3 * (x4 * 4.423028))) - 1.2878455)"
28,1.4162055,"((((x4 * x3) * 3.9970345) + ((x5 - ((((x0 * x0) * x1) - log(abs(x2))) * 1.8928905)) * -2.8060884)) + (abs(x2) - 1.245233)) * 1.1067675"
30,1.3601438,"0.81551766 * ((log(abs(x2)) + ((x5 - (((x0 * (x1 * x0)) - log(abs(x2))) * (1.8305401 + abs(-0.0738072)))) * -3.7407317)) + ((x4 * 5.317835) * x3))"
