Complexity,Loss,Equation
1,161.0643,"2.5019379"
3,130.88702,"x1 * 6.006611"
5,125.5334,"(x1 * 5.932985) + 2.3149314"
6,79.212685,"abs(x0 * -9.464346) * x1"
7,66.33339,"x0 * ((x0 * x1) * 5.9071484)"
9,59.487988,"((x0 * (x1 * x0)) - -0.4416626) * 5.924654"
10,53.631886,"((abs(x0) * x1) - log(abs(x2))) * 6.147581"
11,32.237377,"((x0 * (x1 * x0)) - log(abs(x2))) * 5.512127"
13,27.738514,"(((x0 * (x1 * x0)) - log(abs(x2))) * 5.5294256) - x5"
15,17.493519,"4.420407 * ((((x0 * x0) * x1) + (x3 * x4)) - log(abs(x2)))"
16,15.343216,"(((x4 * x3) + (x0 * (x0 * x1))) - log(abs(abs(x2)))) * 4.6616373"
17,10.102462,"(((x4 * x3) + (x0 * ((x0 * x1) * 1.2886913))) - log(abs(x2))) * 4.6615934"
19,3.4066453,"4.420407 * ((((x3 * x4) + (x0 * ((x0 * 1.354894) * x1))) - log(abs(x2))) - x5)"
21,1.7020173,"x5 + ((((x4 * x3) + ((((1.354894 * x0) * x0) * x1) - log(abs(x2)))) - x5) * 4.420407)"
23,1.2321938,"((((x3 * x4) + (x0 * ((x0 * x1) * 1.2700092))) - log(abs(x2))) * 4.7540298) + ((0.020770142 - x5) * 3.0630288)"
