Complexity,Loss,Equation
1,139.62024,"2.772403"
3,121.390495,"x1 * 5.0508437"
5,113.8244,"(x1 * 5.0390453) + 2.7503908"
6,85.712654,"x1 * abs(x0 * 8.400195)"
7,72.86362,"(x0 * 5.7018957) * (x0 * x1)"
9,62.700882,"(((x0 * x0) * x1) * 5.803846) - -3.19279"
10,54.54444,"((abs(x0) * x1) - log(abs(x2))) * 6.3992352"
11,34.327507,"(((x1 * x0) * x0) - log(abs(x2))) * 5.5884433"
13,28.93062,"((((x0 * x0) * x1) - log(abs(x2))) * 5.591731) - x5"
14,28.930618,"(((x0 * (x0 * x1)) - log(abs(abs(x2)))) * 5.591794) - x5"
15,13.333397,"(((x0 * x0) * x1) + ((x3 * x4) - log(abs(x2)))) * 5.310926"
17,8.008986,"((x4 * x3) + ((((x0 * x0) * x1) - log(abs(x2))) - x5)) * 4.9095383"
19,3.3179762,"((x3 * x4) + (((((x1 * x0) * x0) - log(abs(x2))) * 1.4914902) - x5)) * 3.756643"
20,3.2894106,"((x4 * x3) + ((((x1 * (x0 * 1.4138211)) * x0) - log(abs(abs(x2)))) - x5)) * 4.264007"
21,3.1635232,"((((x4 * x3) + (((x0 * (x0 * x1)) - log(abs(x2))) * 1.5031018)) - x5) * 3.7691293) - 0.40915337"
22,1.9881352,"((((((x0 * 1.4433894) * (x1 * x0)) - log(abs(abs(x2)))) - x5) + (x4 * x3)) * 4.182862) + x5"
27,1.358435,"log(abs(x2)) + ((((((x3 * x4) + ((x1 * (x0 * x0)) - log(abs(x2)))) * 1.9253188) - x5) * 3.0481732) - (x3 * x4))"
28,1.3584349,"(((((x3 * x4) + (((x1 * x0) * x0) - log(abs(x2)))) * 1.9253188) - x5) * 3.0481732) + (log(abs(abs(x2))) - (x3 * x4))"
29,1.3566728,"((((((x3 * x4) + ((x1 * x0) * x0)) - log(abs(x2))) * 1.9280608) - x5) * 3.0467722) + (log(abs(x2)) - ((x3 * x4) - -0.04380149))"
30,1.3566725,"(((((((x3 * x4) + ((x1 * x0) * x0)) - log(abs(x2))) * 1.9280608) - x5) * 3.0467722) + log(abs(abs(x2)))) - ((x3 * x4) - -0.04380149)"
