Complexity,Loss,Equation
1,172.2544,"3.5054429"
3,147.76346,"x1 * 6.044774"
5,136.76758,"(x1 * 5.9413433) + 3.3176932"
6,97.31705,"abs(x0 * 9.256379) * x1"
7,83.9252,"((x0 * 5.9732385) * x1) * x0"
9,74.68819,"(((x1 * x0) * 5.8886175) * x0) - -3.0427716"
11,38.059895,"(((x1 * x0) * x0) - log(abs(x2))) * 5.621253"
13,30.756329,"((((x0 * x0) * x1) - log(abs(x2))) - x5) * 5.271577"
15,12.84847,"(((x4 * x3) + (x1 * (x0 * x0))) - log(abs(x2))) * 5.3583226"
17,7.6630545,"((((x4 * x3) + ((x0 * x1) * x0)) - log(abs(x2))) * 5.358155) - x5"
19,3.510608,"(x5 * -3.001511) + (((((x1 * x0) * x0) - log(abs(x2))) + (x3 * x4)) * 5.358049)"
21,1.3361635,"(x5 * -3.02499) + ((((x3 * x4) + ((x0 * (x1 * x0)) * 1.2521913)) - log(abs(x2))) * 4.7887607)"
22,1.3361632,"(x5 * -3.0249977) + (((x4 * x3) + (((x0 * 1.2521884) * (x1 * x0)) - log(abs(abs(x2))))) * 4.7887526)"
23,1.3201386,"(((((x0 * ((x0 * 1.2584391) * x1)) - log(abs(x2))) + (x4 * x3)) * 4.762003) + (x5 * -3.0285563)) + 0.13541636"
25,1.3104298,"(((((x3 - -0.020065313) * x4) + ((x1 * ((x0 * x0) * 1.2571595)) - log(abs(x2)))) * 4.7641954) + (x5 * -3.0263257)) - -0.13467123"
26,1.2694232,"(x5 * -3.0529804) + (((x3 * x4) + ((((x1 * x0) * 1.2725024) * x0) - log(abs(x2)))) * (4.848459 - abs(x2 * 0.13763478)))"
28,1.2457206,"(x5 * -3.055629) + (((((x0 * 1.2599593) * (x0 * x1)) - log(abs(x2))) + (x4 * x3)) * (4.866365 - abs((x2 * x4) * -0.14344926)))"
30,1.2427588,"((x5 * -3.055629) + ((((x0 * ((1.2599593 * x1) * x0)) - log(abs(x2))) + (x4 * x3)) * (4.866365 - abs((x2 * x4) * -0.14344926)))) - -0.045151073"
