Complexity,Loss,Equation
1,26.728064,"0.16541156"
3,20.670322,"x4 * x3"
4,20.201523,"x1 * abs(x0)"
5,14.978604,"(x3 * x4) * 3.2808123"
6,13.743309,"x1 * (abs(x0) * 3.3832028)"
7,10.935902,"(x1 + (x4 * x3)) * 2.7420614"
9,9.54154,"((x1 * x0) * x0) + (x3 * x4)"
10,2.8805716,"((x4 * x3) + (x1 * abs(x0))) * 3.2113578"
11,1.6796201,"((x1 * (x0 * x0)) + (x4 * x3)) * 2.2724378"
13,0.81996304,"(((x0 * x0) * 2.010774) * x1) - ((x3 * x4) * -3.054538)"
15,0.8159983,"(x1 * (((x0 * x0) * 2.035699) - 0.07673833)) + ((x4 * x3) * 3.050488)"
16,0.8139968,"(abs(0.077053085 - (x0 * (x0 * 2.035898))) * x1) + ((x3 * x4) * 3.0515263)"
17,0.80426055,"(((x33 * 0.056527674) + x0) * ((x0 * 2.0050938) * x1)) + (x4 * (x3 * 3.0564144))"
19,0.79529923,"((3.0695372 * x3) * x4) + ((((x19 * (0.05744571 * x33)) + x0) * x0) * (x1 * 2.0167696))"
20,0.78832716,"(x4 * (x3 * 3.0696125)) + (((x0 * 2.0205498) * x1) * ((abs(x24 * 0.0720121) * x4) + x0))"
21,0.78370535,"(x3 * (x4 * 3.0807977)) + (((((x4 + x41) * (x19 * 0.0521935)) + x0) * x0) * (x1 * 2.015815))"
22,0.77429277,"((x0 + (abs((x24 * x41) * 0.06431755) * x4)) * (x1 * (x0 * 2.022304))) + (x4 * (x3 * 3.0825849))"
23,0.7736882,"(x3 * (3.0754564 * x4)) + ((((((x4 + (x35 + -0.3213551)) * x19) * 0.045376528) + x0) * (x0 * x1)) * 2.0009546)"
24,0.76784134,"(((((abs((x19 * 0.053836204) * (x12 + x41)) * x4) + x0) * 1.9919127) * x0) * x1) + ((x3 * 3.0847206) * x4)"
26,0.7636127,"((x0 * 1.9955109) * (x1 * ((x4 * abs(((x12 + x41) * (x19 + 0.4370238)) * 0.046025213)) + x0))) + (x4 * (x3 * 3.0892696))"
27,0.76262325,"(x4 * (3.0897653 * x3)) + ((x0 * (1.9955047 * x1)) * ((x4 * abs(((x12 + x41) * (abs(x18) + x19)) * 0.04628386)) + x0))"
28,0.76079565,"(x1 * (((x0 * 2.0177467) * ((x4 * abs((x19 + 0.5050113) * ((x41 + x12) * 0.043650374))) + x0)) - 0.06553005)) + ((x4 * 3.0855796) * x3)"
30,0.7594014,"(x3 * ((x4 * 3.0876958) - 0.03752363)) + (x1 * (((x0 * ((abs(((x12 + x41) * (x19 + 0.5051817)) * 0.04355632) * x4) + x0)) * 2.0163937) - 0.06753311))"
