Complexity,Loss,Equation
1,161.3116,"2.2361615"
3,137.99701,"x1 * 5.393903"
5,121.543304,"log(abs(x2)) * -5.599356"
6,85.25181,"abs(x0 * 9.634973) * x1"
7,65.70486,"((x1 * 6.1671457) * x0) * x0"
9,57.413666,"((x0 * 6.2793646) * (x0 * x1)) - -2.885359"
10,51.866215,"((x1 * abs(x0)) - log(abs(x2))) * 6.974739"
11,25.666061,"(((x0 * x1) * x0) - log(abs(x2))) * 5.7851143"
13,21.561426,"(((x0 * (x0 * x1)) - log(abs(x2))) * 5.8011556) - x5"
15,12.784717,"(((x3 * x4) + (x0 * (x0 * x1))) - log(abs(x2))) * 5.2987523"
16,12.784716,"((x3 * x4) + ((x1 * (x0 * x0)) - log(abs(abs(x2))))) * 5.2987466"
17,7.466817,"((((x4 * x3) + ((x1 * x0) * x0)) - log(abs(x2))) * 5.3330016) - x5"
19,3.0381238,"(((x3 * x4) + ((x0 * (x0 * x1)) - log(abs(x2)))) * 5.403365) - (x5 * 3.0682278)"
21,2.2067993,"((((((x0 * x1) * x0) - log(abs(x2))) + (x4 * (x3 * 0.7994366))) * 1.8877944) - x5) * 2.9770565"
22,2.2067988,"((((x3 * (x4 * 0.7994333)) + (x0 * (x1 * x0))) - log(abs(abs(x2)))) * 5.6203847) - (x5 * 2.9771311)"
23,1.8153456,"((x1 * (2.4580672 * (x0 * x0))) + (((log(abs(x2)) * -2.0527258) + ((x3 + x3) * x4)) - x5)) * 2.4179273"
25,1.2970853,"((((x3 * (x4 * 0.75785536)) + ((x0 * x0) * x1)) - log(abs(x2))) * 5.9747396) - ((x5 * 3.032343) - log(abs(x2)))"
26,1.2970849,"(((x3 * (x4 * 0.75785536)) + (((x0 * x0) * x1) - log(abs(abs(x2))))) * 5.9747396) - ((x5 * 3.032343) - log(abs(x2)))"
27,1.2952015,"((((x0 * x0) * x1) + (((x3 * 0.75795054) * x4) - log(abs(x2)))) * 5.9731493) - ((x5 * 3.0347083) - log(abs(x2 + 0.0035496065)))"
28,1.2552841,"(((((x3 * x4) * 0.7587639) + ((x1 * x0) * (x0 + 0.036710393))) - log(abs(abs(x2)))) * 5.9695544) - ((x5 * 3.024294) - log(abs(x2)))"
