Complexity,Loss,Equation
1,170.19647,"3.3904796"
3,147.7138,"x1 * 5.653381"
5,137.40585,"(x1 * 5.559069) + 3.2135928"
6,93.08777,"(abs(x0) * 9.394144) * x1"
7,73.99728,"(x1 * (x0 * x0)) * 5.932198"
9,63.124622,"((x0 * (x1 * 5.915261)) * x0) + 3.2976913"
11,32.701324,"((x1 * (x0 * x0)) - log(abs(x2))) * 5.6487155"
13,27.726725,"((((x1 * x0) * x0) - log(abs(x2))) * 5.6710997) - x5"
15,11.185509,"(((x3 * x4) + ((x0 * x1) * x0)) - log(abs(x2))) * 5.4430766"
17,6.742971,"(((((x1 * x0) * x0) - log(abs(x2))) + (x4 * x3)) * 5.453561) - x5"
19,3.3833418,"((x4 * x3) + (((x5 * -0.53154796) + (x0 * (x0 * x1))) - log(abs(x2)))) * 5.4733152"
21,1.4438436,"((x5 * -0.60822767) + (((x4 * x3) + (x0 * ((x0 * 1.2384157) * x1))) - log(abs(x2)))) * 4.8601704"
22,1.4438435,"((x5 * -0.60822767) + (((x4 * x3) + (x0 * (x0 * (1.2384157 * x1)))) - log(abs(abs(x2))))) * 4.8601704"
23,1.2672663,"(((((x0 * x1) * (x0 * 1.1929562)) + (x4 * (x3 * 0.8961216))) - log(abs(x2))) + (x5 * -0.589757)) * 5.0533466"
25,1.2671587,"((((x5 * -0.5901514) + ((x3 * x4) * 0.8969052)) + ((((x0 * 1.1939485) * x1) * x0) - log(abs(x2)))) * 5.048964) - -0.011928469"
26,1.2671585,"(((x0 * (x1 * (x0 * 1.1939572))) + (((x3 * (x4 * 0.8969172)) - log(abs(abs(x2)))) + (x5 * -0.5901587))) * 5.0489364) + 0.011893411"
27,1.262538,"((((x4 * x3) * 4.5232096) + ((((x0 * x1) * 6.0230527) * x0) + (x5 * -2.9819138))) - (log(abs(x2)) * 5.049937)) - (x0 * 0.07266753)"
30,1.2573278,"((((x5 * -0.59126127) + (((x0 * (x0 * (x1 * 1.1950476))) + ((x3 * 0.8963174) * x4)) - log(abs(x2)))) * 5.04402) + -0.12735395) - (abs(x45) * -0.17777869)"
