Complexity,Loss,Equation
1,17.209099,"x1"
3,15.878839,"x3 * x4"
4,15.157431,"abs(x0) * x1"
5,11.659661,"x1 * (x0 * x0)"
6,10.6152115,"abs(x0 * 3.1623402) * x1"
7,8.745473,"x1 * ((x0 * x0) * 2.0061872)"
9,7.2450714,"(x4 * x3) + ((x0 * x0) * x1)"
10,2.7387452,"((abs(x0) * x1) + (x4 * x3)) * 3.0661087"
11,1.5547227,"((x0 * (x0 * x1)) + (x4 * x3)) * 2.2248063"
13,0.88143545,"((x1 * (x0 * x0)) * 1.9871942) + ((x4 * x3) * 2.992265)"
15,0.879336,"((x1 * 1.9893432) * (x0 * x0)) + ((x4 * (x3 - -0.016133776)) * 2.9887567)"
17,0.8644425,"((x4 * 2.99251) * x3) + ((((x1 * 1.9852213) - (x2 * 0.07430232)) * x0) * x0)"
18,0.8623096,"((abs(x24 * -0.27457657) + 2.795133) * (x4 * x3)) + (x0 * ((x1 * x0) * 1.9921396))"
20,0.85991156,"((x4 * (x3 + 0.017094592)) * (abs(x24 * -0.27709478) + 2.7898207)) + (((x0 * 1.994417) * x1) * x0)"
21,0.85802037,"((x4 * x3) * 2.9958265) + ((x0 * x0) * ((x1 * 1.9946116) - ((x33 + 0.9585406) * (x2 * 0.06212675))))"
22,0.8518726,"((((x0 * x0) * 1.9877278) * x1) + (x21 * 0.10204993)) + ((abs(x24 * 0.27911305) + 2.798634) * (x3 * x4))"
24,0.84976286,"(x4 * (x3 * 2.9905112)) + (((x1 * (x0 * 1.9866908)) * x0) - (((abs(x15) + x33) * (x2 + -0.4153479)) * 0.11714125))"
26,0.8442663,"((x0 * 1.9807745) * (x1 * x0)) + (((x4 * 3.0030112) * x3) - ((x21 + (x33 + abs(x15))) * ((x2 * 0.09106569) + -0.076895826)))"
27,0.84294266,"((x4 * (x3 * 3.0229955)) + (x0 * ((x1 * 1.983726) * x0))) - (((x21 * (x37 + 0.7457863)) + x33) * ((x2 * 0.09951678) + -0.0926432))"
28,0.8368894,"((x4 * x3) * 3.0051289) + (((x1 * 1.9828783) * (x0 * x0)) - ((((x21 * x37) + x33) + abs(x15)) * ((x2 * 0.10847864) + -0.065760486)))"
29,0.83619803,"(x4 * (3.0051289 * x3)) + (((1.9828783 * x1) * (x0 * x0)) - (((abs(x15) + (x21 * abs(x39))) + x33) * ((x2 * 0.10847864) + -0.065760486)))"
30,0.83092624,"((x3 * x4) * 3.0148828) + (((((x1 * 2.0028887) + -0.051269565) * x0) * x0) - (((x37 * x21) + (abs(x15) + x33)) * ((x2 * 0.1105842) + -0.08071494)))"
