Complexity,Loss,Equation
1,94.06477,"3.608381"
3,86.70861,"x1 - -3.559441"
5,68.38573,"log(abs(x2)) * -4.93721"
6,66.69425,"abs(x0 * 6.9261775) * x1"
7,60.331844,"((x1 * 5.003083) * x0) * x0"
8,57.16199,"((abs(x0) * 6.6432414) * x1) + 3.0982745"
9,51.906757,"(((x0 * x1) * x0) * 4.77853) + 2.9188836"
11,37.974617,"(abs(log(abs(x2))) + (abs(x0) * x1)) * 5.246559"
12,29.685423,"(((x0 * x0) * x1) + abs(log(abs(x2)))) * 5.110857"
15,25.3746,"((x4 * x3) + ((abs(x0) * x1) + abs(log(abs(x2))))) * 5.110857"
17,24.397915,"((((x4 * x3) + abs(log(abs(x2)))) + (abs(x0) * x1)) - 0.21001697) * 5.314649"
18,22.84287,"(5.110857 * ((x4 * x3) + (abs(log(abs(x2))) + (abs(x0) * x1)))) - abs(x2)"
19,19.66549,"((5.110857 * (((x3 * x4) + (x1 * abs(x0))) + abs(log(abs(x2))))) - 0.732893) - x5"
20,15.4360075,"((abs(log(abs(x2)) + -1.9400327) + ((((x0 * x1) * x0) - x5) - 1.9321392)) * 4.7844243) + x5"
21,12.164499,"4.271865 * ((((x3 * x4) - 1.7674857) + abs(-1.9750056 + log(abs(x2)))) + (abs(x0 * x0) * x1))"
22,4.4994955,"(((x4 * x3) - 1.8060057) + ((abs(log(abs(x2)) + -1.9366269) + (x0 * (x0 * x1))) - x5)) * 4.4628496"
24,2.5752866,"((((x0 * (x0 * x1)) - x5) + ((abs(log(abs(x2)) + -1.5347494) + (x4 * x3)) - 1.3934473)) * 4.462856) + x5"
26,2.401289,"(x5 + -0.7196813) + ((((((x1 * x0) * x0) - x5) + abs(log(abs(x2)) + -1.5848374)) + ((x4 * x3) - 1.3433311)) * 4.6542153)"
28,2.258868,"(x5 + ((((x4 * x3) - 1.4108655) + ((((x0 * x0) * x1) - x5) + abs(log(abs(x2)) + -1.5172763))) * 4.5812297)) - (x1 * -0.40310052)"
30,2.1387389,"(x5 + (((((((x4 * x3) - 1.4108655) + ((x0 * x0) * x1)) - x5) + abs(log(abs(x2)) + -1.5172763)) * 4.5812297) - 0.05337217)) - (-0.40310052 * x5)"
