Complexity,Loss,Equation
1,105.50546,"3.804607"
3,97.385,"x1 + 3.734864"
5,85.44636,"(x1 - -0.7994757) * 4.375714"
6,75.67215,"abs(x0 * 6.8948755) * x1"
7,68.953186,"((x1 * 4.985136) * x0) * x0"
8,65.59837,"3.1889853 - (abs(x0) * (x1 * -6.5747523))"
9,59.236977,"3.1322181 - (x1 * (x0 * (x0 * -4.769804)))"
11,44.999897,"((x1 * abs(x0)) - (abs(x2) - 1.2186941)) * 6.9440894"
12,40.097622,"((x0 * (x0 * x1)) + (1.3413616 - abs(x2))) * 5.299585"
14,34.630585,"((((x0 * x0) * x1) - (abs(x2) - 1.4590743)) - x5) * 4.9564366"
16,31.848639,"x5 + ((((x0 * (x1 * x0)) - (abs(x2) - 1.4590743)) - x5) * 4.9564366)"
18,31.82885,"x5 + (((((x0 * (x0 * 0.9695682)) * x1) - (abs(x2) - 1.449599)) - x5) * 5.0491657)"
19,30.158567,"((((((x0 * x0) * x1) - (abs(x2) - 1.6430815)) - x5) * 4.7829347) - abs(x2)) + x5"
21,28.69936,"(((5.4177127 - abs(x2)) * (((x1 * x0) * x0) - (abs(x2 * 2.774612) - -0.5129503))) - x5) - -14.317095"
22,28.068253,"((5.4177127 - abs(abs(x2))) * (((x1 * (x0 * x0)) - (abs(x2 * 2.774612) - -0.5129503)) - x5)) - -14.317095"
23,21.752922,"((((((x1 * 1.4278588) * x0) * x0) - (sqrt(abs(x2 * 18.359928)) - 2.8001337)) - (x5 - 0.0063245445)) * 3.4176764) - -5.6443963"
25,21.657333,"(((((((x1 * 1.501271) * x0) * x0) - (sqrt(abs(x2 * 19.500412)) - 3.0932486)) - (x5 - 0.29388273)) * 3.2997143) - -5.4487414) + -1.5111284"
26,21.360205,"((((x1 * abs(((x0 * x0) * -1.7525238) - -0.22297512)) - ((sqrt(abs(x2)) * 5.0516644) - 3.0981946)) - (x5 - 1.5891551)) * 3.0155227) - -1.4396164"
27,21.177465,"((((x1 * abs(((x0 * x0) * -1.572518) - -0.28789493)) - (sqrt(abs(x2)) * 4.7669883)) - (x5 - 4.0023785)) * (4.1561003 - abs(x2))) - -1.9050227"
