Complexity,Loss,Equation
1,145.52832,"3.2256584"
3,112.72555,"x1 * 6.8178544"
5,106.601364,"(x1 * 6.5149837) + 2.4918442"
6,65.40909,"x1 * (abs(x0) * 9.060769)"
7,55.86216,"x0 * (x1 * (x0 * 5.086087))"
9,48.657528,"((x0 * (x0 * 5.011491)) * x1) + 2.6881726"
11,44.317352,"(((x0 * x1) * (x0 * 5.019821)) + 2.7201097) - x5"
12,32.464767,"((((x1 * x0) * x0) + 1.3213365) - abs(x2)) * 5.108576"
14,32.360146,"((((x0 * x1) * (x0 + -0.06400676)) - abs(x2)) * 5.0614977) + 6.5545964"
15,32.029057,"x4 + (((abs(1.3569521) + ((x1 * x0) * x0)) - abs(x2)) * 5.0304203)"
16,26.464937,"(((x0 * (x0 * x1)) + ((2.22156 - abs(x2)) - x5)) * 4.834758) + -4.020666"
18,25.371338,"((((x0 * (x0 * x1)) + 1.6261861) * 4.890578) - (x5 - (abs(x2) * -7.4566746))) - -0.725329"
19,17.56559,"(((x0 * (x0 * x1)) + ((3.459063 - sqrt(abs(x2 * 11.078405))) - x5)) * 4.5979776) + -0.42308718"
21,16.16752,"(((((x0 * x0) * x1) + 1.1967326) + ((2.1476378 - sqrt(abs(x2 * 10.828654))) - x5)) * 4.5966344) + x5"
23,15.971803,"((((x1 * x0) * x0) + (((2.613666 - sqrt(abs(x2 * 9.732084))) + 0.087353185) - x5)) * 4.795556) + (x5 - -2.19868)"
