Complexity,Loss,Equation
1,174.42802,"3.1264834"
3,145.70886,"x1 * 6.033663"
5,135.62845,"(x1 * 6.060311) - -3.1751537"
6,90.27986,"(abs(x0) * x1) * 8.917625"
7,75.80052,"((x1 * 5.267197) * x0) * x0"
9,65.37791,"((x1 * 5.2831745) * (x0 * x0)) + 3.228304"
11,59.46252,"((((x0 * x1) * x0) - x5) * 4.8454723) + 3.4621987"
13,55.971817,"(((((x1 * x0) * 1.6820123) * x0) - x5) * 3.1334567) + 3.384773"
15,55.957188,"((x1 * ((x0 * (x0 * 5.2269034)) + 0.14426446)) + 3.385241) - (x5 * 3.1304224)"
17,54.82047,"((((x34 + ((x0 * x0) * 4.5001163)) * (x1 * 0.36562172)) + 1.0868195) - x5) * 3.125941"
19,54.46164,"((((x1 * 0.24397378) * (x17 + (x0 * ((x0 * 6.667248) + x22)))) - x5) * 3.159147) + 3.281886"
20,54.447277,"((((x1 * ((x0 * (x22 + (x0 * 8.106295))) + x17)) * 0.20647825) - x5) * 3.1349003) + abs(3.321982)"
21,53.99285,"(3.1349003 * ((x1 * (((x17 + x19) + (x0 * (x22 + (x0 * 8.106295)))) * 0.20647825)) - x5)) + 3.321982"
23,53.42194,"3.281886 + (3.159147 * (((((x0 * ((x22 + (x0 * 6.828105)) - x24)) + x19) + x17) * (0.24397378 * x1)) - x5))"
25,53.102104,"((((x1 * 0.23148704) * (((x0 * (x22 + ((x0 * 7.3484573) - x24))) + (x19 + x17)) - x15)) - x5) * 3.116518) + 3.253757"
27,52.77823,"(x44 + 3.1622365) + ((((x1 * ((x17 - x41) + ((x0 * ((x22 + (x0 * 7.586301)) - x11)) + x19))) * 0.21744868) - x5) * 3.181551)"
29,52.759483,"((x44 + 3.1622365) + ((((x1 * ((x17 - x41) + ((x0 * (x22 + ((x0 * 7.586301) - x11))) + x19))) * 0.21744868) - x5) * 3.181551)) + 0.13679002"
