Complexity,Loss,Equation
1,108.95208,"2.8244371"
3,93.730995,"x1 * 4.8706903"
5,85.14701,"(x1 * 4.936375) - -2.9304647"
6,63.95942,"(abs(x0) * x1) * 7.8994517"
7,55.921585,"x1 * ((x0 * x0) * 5.203761)"
9,49.2379,"(((x0 * x0) * 5.1510997) * x1) + 2.5864758"
11,35.4308,"(((x1 * abs(x0)) - abs(x2)) + 1.2093532) * 7.5614524"
13,30.863476,"(((abs(x0) * x1) + (1.209561 - abs(x2))) * 7.575878) - x5"
15,26.658419,"(((x1 * x0) * x0) + (3.022336 - sqrt(abs(x2 * -8.482045)))) * 4.858774"
17,20.41082,"((3.5825846 - sqrt(abs(x2 * 12.034278))) + ((x1 * (x0 * x0)) - x5)) * 4.292905"
19,18.54733,"((((((x0 * x1) * x0) + 3.022336) - sqrt(abs(8.482045 * x2))) - x5) * 4.858774) + x5"
25,18.0653,"(x3 - x5) + ((4.8037763 * ((abs(abs(x0 * x0)) * x1) + (3.077709 - sqrt((x5 - -7.8404884) * abs(x2))))) - x5)"
27,17.60282,"(((x3 - 0.6091469) - x5) + (((3.146213 - sqrt((x5 - -8.390651) * abs(x2))) + (x1 * abs(x0 * abs(x0)))) * 4.901132)) - x5"
30,17.53134,"(abs(x3 - -1.5471572) - x5) + ((((2.6838095 - sqrt(abs(x2) * ((x5 - -6.9835873) + 1.3671658))) + (x1 * abs(abs(x0 * x0)))) * 4.919852) - x5)"
