Complexity,Loss,Equation
1,93.18844,"2.7014968"
3,83.21705,"x1 * 4.3921843"
5,74.71634,"(x1 * 4.548788) - -2.919177"
6,62.1202,"(abs(x0) * 7.1887803) * x1"
7,57.05795,"x1 * ((x0 * 4.879958) * x0)"
8,51.001896,"((abs(x0) * x1) * 7.576147) + 3.3510802"
9,45.91656,"((x1 * (x0 * x0)) + 0.6558582) * 5.113766"
11,41.752228,"(x0 * ((x0 * 5.1474276) * x1)) - (x6 - 3.3419738)"
13,39.23978,"(3.324803 - (x6 * 2.5871174)) + ((x0 * x0) * (x1 * 5.2003765))"
15,38.589176,"(3.3472342 - (x6 * 2.5167131)) + ((((x1 * 5.190467) - x12) * x0) * x0)"
16,23.921663,"(((x0 * (x1 * x0)) + 2.071982) * (4.5680594 - x6)) + (abs(x2) * -8.118226)"
18,23.918358,"(((x0 * (x1 * x0)) + 2.071982) * (4.5680594 - x6)) + (abs(x2 + -0.0071234195) * -8.118226)"
20,22.07698,"(((x0 * (x0 * x1)) + (x6 * -0.74465084)) * 4.9329476) + ((abs(x2) * -7.610785) - (-8.920662 - x6))"
22,22.050259,"((abs(x2) * -6.205203) - (log(abs(x2)) + -7.708086)) + (((x1 * (x0 * x0)) + (x6 * -0.93003494)) * 4.5330167)"
24,20.098125,"((abs(x2) * -6.205203) - (log(abs(x2)) + (-7.708086 - x6))) + (((x6 * -0.93003494) + ((x1 * x0) * x0)) * 4.5330167)"
30,19.210266,"((((2.2854319 - x6) + ((x0 * x1) * x0)) * 3.9059026) + (abs(x2) * -6.0657706)) - ((1.8520329 - (x6 + (x0 * (x1 * x0)))) + log(abs(x2)))"
