Complexity,Loss,Equation
1,151.4795,"2.6875749"
3,126.83098,"x1 * 5.614338"
5,120.06509,"(x0 + 5.4543133) * x1"
6,70.231575,"(abs(x0) * 8.729441) * x1"
7,56.4478,"(x0 * 4.9749565) * (x0 * x1)"
9,49.8287,"((x1 * x0) * (x0 * 4.9606657)) + 2.5731046"
11,45.124588,"((x1 * ((x0 * x0) * 4.969802)) - x6) + 2.542724"
12,33.93224,"((x0 * 5.024815) * (x0 * x1)) - log(x2 * x2)"
14,21.238768,"((x0 * 5.09969) * (x0 * x1)) - (log(x2 * x2) * 2.5026863)"
16,16.74608,"((x1 * (x0 * (x0 * 5.09969))) - (log(x2 * x2) * 2.5026863)) - x6"
18,16.734783,"((((x0 * 5.1096845) * x0) * x1) - (log(x2 * x2) * 2.5107207)) - (x6 - -0.11177823)"
19,16.037453,"(((log(0.5096769) - log(x2 * x2)) - x6) * 2.542837) + (((x0 * x0) * x1) * 5.1255155)"
20,13.722603,"(((x0 * x0) * x1) * 5.1255155) + ((((0.15947497 - log(x2 * x2)) - x6) * 2.542837) + -0.59815496)"
22,13.7226,"(((-0.2523975 - log(x2 * x2)) + (1.2322255 - x6)) * 2.5426698) + (((x0 * (x1 * 5.1255307)) * x0) + -2.6835153)"
24,13.663169,"(((x0 * x0) * 5.1271615) * x1) + (((x29 * 0.035554152) + 2.7572212) * (((-0.054901175 - log(x2 * x2)) * 0.903699) - x6))"
27,13.608523,"((((log(0.5096769) - log(x2 * x2)) - x6) * 2.542837) + ((-0.29640955 * x5) + (1.7282282 - -0.02632959))) + (((x0 * x0) * x1) * 5.1255155)"
