Complexity,Loss,Equation
1,189.52193,"3.927161"
3,161.94414,"x1 * 6.344919"
5,147.97043,"(x1 - -0.5995271) * 6.237726"
6,99.26923,"x1 * abs(x0 * 10.038228)"
7,79.21176,"((x0 * x1) * 6.170428) * x0"
9,67.966866,"((x1 * (x0 * 6.0746484)) * x0) + 3.3575854"
11,37.203957,"((x0 * (x0 * x1)) - log(abs(x2))) * 5.722867"
12,37.203953,"(((x1 * x0) * x0) - log(abs(abs(x2)))) * 5.7234206"
13,31.177588,"(((x0 * (x0 * x1)) - log(abs(x2))) * 5.703315) - x5"
15,25.477976,"(((x0 * (x0 * x1)) - (x5 * 0.5836459)) - log(abs(x2))) * 5.6580863"
17,24.830564,"((((x0 * (x1 * x0)) - (x5 * 0.5977436)) - log(abs(x2))) * 5.501482) + x1"
19,23.832226,"((((x1 + x1) * (x0 * x0)) + ((log(abs(x2)) * -1.5882541) - x5)) * 3.0604157) - x16"
21,23.828026,"((((((x1 + x1) * (x0 * x0)) + (log(abs(x2)) * -1.5791383)) - x5) * 3.059677) + 0.07570058) - x16"
24,23.503597,"(((((log(abs(x2)) * -1.5910918) + (((x1 + x1) * (x0 * x0)) - -10.661859)) - x5) * 3.0458279) + -31.606882) - abs(x49)"
26,23.381926,"((((log(abs(x2)) * -1.5844439) + ((((x0 * x0) * (x1 + x1)) - -6.8993664) - x5)) * 3.0472164) + (-20.16165 - abs(x49))) - x16"
28,23.126785,"((((((log(abs(x2)) * -1.5844439) + (((x1 + x1) * (x0 * x0)) - -6.8993664)) - x5) * 3.0472164) + (-20.16165 - abs(x49))) - x16) - x35"
30,23.061073,"((((((-1.5794122 * log(abs(x2))) - -4.6346226) - x5) + ((x1 + x1) * (x0 * x0))) * 3.048447) + (((-13.41056 - abs(x49)) - x16) - x35)) - x32"
