Complexity,Loss,Equation
1,140.05495,"3.070455"
3,122.420364,"x1 * 5.293779"
5,113.69718,"(x1 * 5.225057) + 2.9546275"
6,78.49462,"abs(x0) * (x1 * 9.494649)"
7,61.019077,"x1 * ((x0 * 6.421932) * x0)"
9,51.74836,"3.0452998 - (((x0 * x1) * x0) * -6.4164753)"
11,30.339062,"(((x0 * x0) * x1) - log(abs(x2))) * 5.692323"
13,25.077995,"((((x1 * x0) * x0) - log(abs(x2))) * 5.6803045) - x5"
15,22.046576,"(((((x0 * x1) * x0) - log(abs(x2))) * 5.692229) - x5) - x5"
17,19.65945,"(((x0 * (x1 * x0)) * 6.2100534) - (log(abs(x2)) * 4.806337)) - (x5 * 2.8780289)"
21,19.614008,"(x5 * -2.8724613) + ((-16.85225 - (x1 * (x0 * (x0 * -6.2138014)))) - ((3.6352632 - log(abs(x2))) * -4.703119))"
23,19.126986,"((-2.8724613 * x5) + ((-16.85225 - (x0 * (x1 * (x0 * -6.2138014)))) - (-4.703119 * (3.6352632 - log(abs(x2)))))) + x4"
25,18.86517,"(x5 * -2.8731513) + ((x4 + -16.598686) + ((x35 - ((3.57704 - log(abs(x2))) * -4.6725717)) - (((x0 * x1) * -6.1195536) * x0)))"
27,18.796812,"(((((0.37577558 - (x0 * -6.1700125)) * (x0 * x1)) + -11.097204) + (x4 + (x5 * -2.8332))) - ((log(abs(x2)) * 4.6659317) - 11.304894)) + x35"
