Complexity,Loss,Equation
1,113.47787,"2.7590978"
3,99.03464,"x1 * 4.899729"
5,93.08105,"(x1 * 4.7225595) - -2.4455743"
6,70.89355,"(x1 * 8.081465) * abs(x0)"
7,61.666576,"((x1 * x0) * x0) * 5.7313094"
9,53.770756,"(((x0 * x1) * 5.745308) * x0) + 2.8100977"
11,49.42975,"2.8393288 - (x5 + (((x0 * x0) * -5.778868) * x1))"
12,34.21469,"(((x0 * (x0 * x1)) + 1.2337232) - abs(x2)) * 6.19626"
14,29.691586,"(((1.2360781 - abs(x2)) + ((x0 * x1) * x0)) * 6.230508) - x5"
16,26.774462,"((((((x0 * x1) * x0) + 1.2400945) - abs(x2)) * 2.350078) - x5) * 2.675135"
18,25.62847,"((((x0 * x1) * (x0 * 6.0045886)) + 9.120852) - abs(x2 * -7.9893928)) - (x5 * 2.6755326)"
20,25.406696,"((((((x0 * (x1 * 2.2194622)) + 0.18535195) * x0) - x5) - abs(x2 * 3.0159478)) * 2.6759453) + 9.206239"
22,22.740093,"(((((x0 * ((x1 * x0) * 2.0442245)) - abs(x2 * 4.8465967)) + (x2 * x2)) + 3.8307283) - x5) * 2.9199705"
24,22.404345,"((x2 * x2) * 4.1495204) + (((4.4510984 - x5) - (((x0 * (x1 * -2.1979258)) * x0) + abs(x2 * 6.188615))) * 2.7042716)"
26,22.314453,"(((4.517968 - x5) - (abs(x2 * 6.2812285) + (((x0 * x0) * x1) * -2.1423144))) * 2.7137127) + (((x2 * x2) * 4.2231236) + x0)"
27,22.002413,"abs(((x2 * 3.9166474) * x2) + -0.5484774) + (((4.400266 - x5) - (abs(x2 * 5.859779) + (x1 * ((x0 * x0) * -2.1978867)))) * 2.7039351)"
28,21.893545,"(((4.500823 - x5) - (abs(x2 * 6.286836) + ((x1 * x0) * (x0 * -2.1961515)))) * 2.6824672) + ((x2 * x2) * ((x17 * 0.46838322) + 4.1779523))"
30,21.660091,"(abs((x2 * (x2 * 3.8744063)) + -0.5399498) + (((4.670883 - x5) - ((abs(x2) * 5.8104115) + (((x1 * x0) * -2.1889243) * x0))) * 2.7189808)) - abs(x4)"
