Complexity,Loss,Equation
1,163.34637,"2.8372571"
3,135.3373,"x1 * 5.9011116"
5,128.26833,"(x1 * 5.822924) - -2.6606376"
6,84.62726,"x1 * abs(x0 * 9.340924)"
7,71.47108,"(x1 * (x0 * x0)) * 5.9045877"
9,63.23012,"(((x1 * x0) * 5.9110136) * x0) + 2.8706026"
11,57.87743,"(((x0 * x0) * 5.924361) * x1) + (2.922568 - x5)"
12,42.19342,"(((x0 * (x1 * x0)) + 1.2941251) - abs(x2)) * 5.946209"
14,37.164307,"(((1.3025496 + ((x1 * x0) * x0)) - abs(x2)) * 5.949312) - x5"
15,33.260868,"((((x0 * x0) * x1) + 5.5154996) * (5.177325 - log(abs(x2)))) - 29.019468"
16,32.934357,"(((((x0 * x0) * x1) - abs(x2)) + 1.3200945) - (x5 * 0.51808125)) * 5.955837"
17,28.754433,"((((x1 * (x0 * x0)) + 5.4701614) * (5.192425 - log(abs(x2)))) - 28.789412) - x5"
19,25.831501,"((5.208104 - log(abs(x2))) * ((((x0 * x1) * x0) - (x5 * 0.46172604)) + 5.4295254)) - 28.57492"
22,25.521898,"((((x0 * (x1 * x0)) + 5.4219713) - (x5 * 0.46807793)) * (5.18845 - log(abs(x2)))) - (abs(x49) + 27.66585)"
23,23.33984,"(((((15.4834175 - log(abs(x2))) * ((x0 * (x1 * x0)) + 14.736672)) - (x5 * 8.195813)) - 109.04533) * 0.3578679) + -42.74049"
26,23.274166,"((((((x0 * (x1 * x0)) + 13.66859) * (14.36083 - log(abs(x2)))) + (abs(x46) - 170.65306)) - (x5 * 7.7549224)) * 0.3839705) + -10.369488"
27,23.134247,"(((((15.501884 - log(abs(x2))) * (((x0 * x0) * x1) + 14.710335)) - (8.191053 * x5)) - 109.04507) * 0.3576074) + (-42.639797 + (x13 * x36))"
