Complexity,Loss,Equation
1,142.98558,"2.4118466"
3,114.7893,"x1 * 5.777248"
5,105.2461,"(x1 - x5) * 4.569248"
6,75.320305,"(x1 * abs(x0)) * 9.143759"
7,67.7121,"(x1 * (x0 * x0)) * 6.401609"
8,67.378456,"(x1 * abs(x0 * -9.28508)) + 2.8212838"
9,59.66464,"(x1 * ((x0 * 6.4961977) * x0)) + 2.8399947"
11,45.750034,"((1.1651993 - abs(x2)) + (x1 * abs(x0))) * 8.189802"
12,36.40215,"((x1 * (x0 * x0)) + (1.2420651 - abs(x2))) * 6.808966"
13,30.753807,"(log(abs(x2)) * -5.077404) - ((x1 * (x0 * x0)) * -6.526809)"
15,25.915407,"((log(abs(x2)) * -5.0957475) - (x0 * ((x0 * -6.4579005) * x1))) - x5"
17,22.013056,"(log(abs(x2)) * -5.1327696) + ((x5 * -3.013549) - (x0 * ((x1 * x0) * -6.3191447)))"
19,21.609276,"((log(abs(x2)) * -5.055304) - (x1 * ((x3 + (-6.305834 * x0)) * x0))) + (x5 * -3.0087497)"
21,20.806644,"((log(abs(x2)) * -5.119744) + (x5 * -3.0273993)) - ((x1 * ((x28 * x3) + (x0 * -6.28192))) * x0)"
23,20.291342,"((x5 * -3.0273993) + (log(abs(x2)) * -5.119744)) - ((x1 * (((x28 + 0.8500407) * x3) + (x0 * -6.28192))) * x0)"
24,20.288713,"((log(abs(x2)) * -5.0942016) - (x1 * (((x0 * -6.0283732) * x0) + (abs(x3 * x3) * -0.8061665)))) + (x5 * -3.000136)"
25,20.168251,"(((x5 * -2.2824001) + (log(abs(x2)) * -3.8740845)) - (x1 * ((((x28 + 0.6565949) * x3) + (x0 * -4.7445574)) * x0))) * 1.3203851"
27,20.142769,"((((x5 * -2.2824001) + (log(abs(x2)) * -3.8740845)) - ((x1 * x0) * (((x28 + 0.6565949) * x3) + (x0 * -4.7445574)))) * 1.3203851) - 0.07747956"
28,19.682665,"(((x5 * -3.0087497) - abs(x19 * x3)) + (-5.055304 * log(abs(x2)))) - ((x0 * ((-6.305834 * x0) + ((x28 + 0.72545993) * x3))) * x1)"
30,19.462093,"(((0.31613222 - (log(abs(x2)) * 5.1979885)) - abs(x19 * x3)) - (((x3 * (x28 + 0.9010942)) + (x0 * -6.2859697)) * (x1 * x0))) + (x5 * -3.0691345)"
