Complexity,Loss,Equation
1,192.31007,"3.1275687"
3,152.48917,"x1 * 7.0467267"
5,142.20248,"(x1 - -0.4528224) * 7.0829625"
6,89.92804,"x1 * abs(x0 * 10.193038)"
7,77.98488,"(x0 * (x0 * x1)) * 6.3368964"
9,65.7232,"((x0 * 6.4035544) * (x0 * x1)) + 3.5035477"
11,36.501102,"((x0 * (x0 * x1)) - log(abs(x2))) * 5.9968886"
13,31.634912,"(((x0 * (x1 * x0)) - log(abs(x2))) * 6.001921) - x5"
15,28.20045,"(((x1 * (x0 * x0)) - log(abs(x2))) - (x5 * 0.46631557)) * 6.0109"
17,27.932377,"(((((x1 * x0) * x0) - log(abs(x2))) - (x5 * 0.46631557)) * 6.0109) - 0.42908227"
19,27.149113,"(log(abs(x2)) - (x5 + x5)) + ((((x0 * x1) * x0) - log(abs(x2))) * 6.3470254)"
21,26.552576,"log(abs(x2)) + (((((((x1 * x0) * x0) - log(abs(x2))) * 6.2137804) - x5) - x5) - x5)"
23,26.322489,"((log(abs(x2)) + ((((((x0 * x1) * x0) - log(abs(x2))) * 4.5871124) - x5) - x5)) - -0.08370827) * 1.4114065"
26,26.297726,"log(abs(x2)) + (((((((x0 * (x0 * x1)) - log(abs(abs(x2)))) * 6.3583374) - x5) + (x2 * 0.40701452)) - x5) - x5)"
27,26.18703,"(((((((x0 * (x0 * x1)) - log(abs(x2))) * 4.730256) - x5) - (x40 * 0.27572507)) - (x5 + -0.047466382)) + log(abs(x2))) * 1.3732773"
