Complexity,Loss,Equation
1,122.5456,"2.889018"
3,107.212074,"x1 * 4.7102942"
5,99.33917,"log(abs(x2)) * -4.705021"
6,77.85408,"(abs(x0) * 7.9014134) * x1"
7,69.0248,"((x0 * x0) * 5.521788) * x1"
9,60.046684,"((x0 * 5.5504622) * (x1 * x0)) - -2.9965138"
10,49.202423,"((abs(x0) * x1) - log(abs(x2))) * 6.087951"
11,33.862892,"((x1 * (x0 * x0)) - log(abs(x2))) * 5.4176583"
13,28.815796,"((((x0 * x1) * x0) - log(abs(x2))) * 5.427471) - x5"
14,28.815794,"((((x0 * x0) * x1) - log(abs(abs(x2)))) * 5.4274735) - x5"
15,12.629504,"((((x0 * x0) * x1) + (x3 * x4)) - log(abs(x2))) * 5.2515845"
17,7.5565457,"(((x0 * (x1 * x0)) + ((x3 * x4) - log(abs(x2)))) * 5.2603664) - x5"
19,3.298679,"(((x4 * x3) - log(abs(x2))) + ((x0 * ((x0 * 1.4194998) * x1)) - x5)) * 4.24323"
21,1.1731331,"(((((x3 * x4) - log(abs(x2))) * 1.562169) + (x0 * (x1 * (x0 * 2.0117295)))) - x5) * 3.012063"
23,1.0809515,"(((((x3 * x4) * 1.4909238) - (log(abs(x2)) * 1.6194779)) + ((x1 * (x0 * x0)) * 2.0081751)) - x5) * 3.013059"
25,1.0793103,"((((((x0 * x1) * 2.0092516) * x0) + (x3 * ((x4 * 1.4914767) - 0.013689457))) - (log(abs(x2)) * 1.6202618)) - x5) * 3.01087"
26,1.0793097,"(((x3 * ((x4 * 1.4915355) + -0.013560932)) - (log(abs(abs(x2))) * 1.6204531)) + ((x0 * (x1 * (x0 * 2.0094123))) - x5)) * 3.0106807"
27,1.0792688,"((-0.013560932 * x2) + 3.0106807) * ((((x0 * (x1 * x0)) * 2.0094123) - x5) + ((x3 * (1.505164 * x4)) - (log(abs(x2)) * 1.6204531)))"
29,1.0750719,"((((x1 * (x0 * (x0 * 2.0136716))) - x5) + ((x3 + 0.009364674) * (x4 * 1.4926534))) - (log(abs(x2)) * 1.6225383)) * ((x2 * -0.021770459) + 3.0074232)"
