Complexity,Loss,Equation
1,159.6947,"2.6239226"
3,134.62952,"x1 * 5.6515183"
5,127.10476,"(x1 + 0.48047227) * 5.7092085"
6,81.908455,"abs(x0) * (x1 * 9.163948)"
7,65.96007,"(x1 * x0) * (x0 * 5.8360248)"
9,57.004356,"(((x1 * x0) * 5.900541) * x0) - -2.9946263"
11,28.725487,"((x0 * (x0 * x1)) - log(abs(x2))) * 5.6337504"
13,24.871231,"(((x0 * (x1 * x0)) - log(abs(x2))) * 5.6068354) - x5"
15,22.506905,"(((x1 * (x0 * x0)) - log(abs(x2))) + (-0.46863535 * x5)) * 5.563434"
16,21.885868,"(((x1 * x0) * x0) * 5.82692) - ((log(x2 * x2) + x5) * 2.5276947)"
18,21.485561,"((x7 + (5.7738595 * (x0 * x1))) * x0) - (2.5494735 * (log(x2 * x2) + x5))"
20,21.444414,"(((((x1 - 0.019071253) * x0) * 5.7729383) + x7) * x0) - ((log(x2 * x2) + x5) * 2.5501373)"
21,21.43794,"(x0 * ((log(1.6977074) * x7) + ((x0 * x1) * 5.790379))) - ((log(x2 * x2) + x5) * 2.5517182)"
22,21.264484,"(x0 * (x7 + (x0 * (x1 * 5.7896605)))) - (((-0.18294208 * x18) + (x5 + log(x2 * x2))) * 2.5479662)"
24,21.247997,"((x0 * (x7 + (x0 * (x1 * 5.7896605)))) + -0.12815909) - ((log(x2 * x2) + ((x18 * -0.18294208) + x5)) * 2.5479662)"
26,21.171124,"(x23 + ((((x0 * (x1 * 5.7774725)) + x7) * x0) + -0.16994305)) - (((x18 * -0.19346847) + (log(x2 * x2) + x5)) * 2.5467336)"
28,20.997997,"(-0.15044492 - (((x18 * -0.18864474) + (x5 + log(x2 * x2))) * 2.5473022)) + ((x23 * 0.5453571) + (x0 * ((x0 * (x1 * 5.78311)) + x7)))"
