Complexity,Loss,Equation
1,133.34975,"2.9672713"
3,122.415764,"x1 * 4.4803467"
5,109.22931,"log(abs(x2)) * -4.7569666"
6,80.098495,"x1 * (abs(x0) * 8.738817)"
7,60.55058,"((x0 * x1) * 6.1194315) * x0"
9,53.025276,"((x0 * (x0 * x1)) - -0.4518157) * 6.0732265"
11,29.25846,"(log(abs(x2)) - ((x0 * x0) * x1)) * -5.5711203"
13,25.207481,"(((x0 * (x0 * x1)) - log(abs(x2))) * 5.5633044) - x5"
15,22.90487,"(((((x0 * x0) * x1) - log(abs(x2))) * 5.5633044) - x5) - x5"
17,20.813738,"((x5 * -2.79167) - ((x0 * -6.075751) * (x1 * x0))) - (log(abs(x2)) * 4.762066)"
19,20.628075,"((log(abs(x2)) * -4.7320642) + (((x0 * (x1 * x0)) * 6.0341163) - (x5 * 2.812507))) - x25"
21,20.470716,"((x0 * x1) * (x0 * 6.0509596)) + (((log(abs(x2)) - (x25 * -0.12559026)) * -4.744645) - (x5 * 2.804893))"
22,19.952303,"((x0 * (x1 * (x0 * 6.039223))) + ((log(abs(x2)) * -4.7607026) - (x25 * abs(x3)))) - (x5 * 2.7834265)"
24,19.648106,"(((log(abs(x2)) * -4.7532253) - (abs(x0 * x4) * x25)) + ((x0 * (x1 * x0)) * 5.95951)) - (x5 * 2.7362826)"
25,19.186985,"((log(abs(x2)) * -4.7848587) - (x25 * abs(abs(x7) * x4))) + (((x0 * (6.0601916 * x1)) * x0) - (x5 * 2.7582018))"
27,18.978994,"((log(abs(x2)) * -4.7532253) - (abs(abs(x0 * x4) * x4) * x25)) + ((x0 * ((x1 * x0) * 5.95951)) - (2.7362826 * x5))"
28,18.90412,"((((x0 * 5.89601) * x1) * x0) + (((log(abs(x2)) * -4.673494) - (x25 * (x4 * (x4 * abs(x0))))) - (x5 * 2.689911))) + 0.28547886"
30,18.868511,"((log(abs(x2)) * -4.785023) - ((abs(x0) * ((x25 * x4) * x4)) - (x5 * -2.6698813))) + ((x0 * x0) * ((x1 * 5.882295) + (x38 * 0.17087603)))"
