Complexity,Loss,Equation
1,116.04015,"2.1841528"
3,101.462364,"x1 * 4.174187"
5,92.03422,"(x1 - x5) * 3.711402"
6,70.12372,"x1 * (abs(x0) * 7.2648144)"
7,60.295776,"x0 * ((x0 * x1) * 5.1225457)"
9,53.157135,"(((x1 * x0) * x0) - x5) * 4.5308495"
11,39.081398,"(((x1 * abs(x0)) - abs(x2)) * 7.4419274) + 9.034949"
13,34.77839,"(((abs(x0) * x1) - abs(x2)) * 7.4419274) + (9.034949 - x5)"
15,32.540863,"((9.517092 + (((abs(x0) * x1) - abs(x2)) * 8.045522)) - x1) - x5"
17,31.793423,"(((abs(x0) * 7.282252) * x1) - (abs(x2) * 7.410228)) + ((x5 * -2.769756) - -8.947499)"
19,29.977644,"(((x1 * abs(x0 * 10.372222)) - (abs(x2 * 7.361743) + x5)) - (x1 * 3.547307)) - -8.834355"
20,28.764387,"((((x1 * abs(x0)) - abs(x2)) * 3.5560977) + (abs(x1 + -1.931264) - (x5 + -2.118445))) * 2.4475825"
21,27.005339,"((x5 * -2.7687614) + (((abs(x0) * 10.370788) * x1) - abs(x2 * -7.361707))) - ((x1 * 3.5458822) - 8.834311)"
22,26.791113,"((abs(10.372222 * x0) * x1) - abs(x2 * 7.361743)) + abs(-8.834355 - ((x5 * -2.7689285) - (x1 * 3.547307)))"
24,26.78894,"((abs(x0 * 10.372222) * x1) - abs(x2 * 7.361743)) + abs(((x5 * -2.7689285) - (x1 * 3.547307)) - (-8.834355 + 0.16002545))"
26,26.746834,"((abs(abs(x0 * 10.412633)) * x1) - abs(x2 * 7.342469)) + (((x5 + -0.27532655) * -2.7236698) + ((8.016121 - (x1 * 3.6016889)) - x8))"
27,26.67634,"((((x1 * abs((x0 * 10.321554) - 0.26871464)) - abs(x2 * 7.3143983)) + ((x5 + -0.22727117) * -2.7073386)) - ((x1 * 3.5116906) - 8.126107)) - x8"
29,26.582314,"((x1 * abs(x0 * 10.205166)) - ((x5 - (x2 * x21)) + (x5 + (abs(x2 * -7.4045315) + (x5 + 1.5028576))))) - ((x1 * 3.4786522) - 10.393441)"
