Complexity,Loss,Equation
1,121.09213,"2.8863158"
3,114.55821,"x1 - -2.976509"
5,101.79831,"(x1 - x6) * 3.815424"
6,84.72158,"(abs(x0) * x1) * 7.3555336"
7,68.156395,"(x1 * (x0 * x0)) * 4.895799"
9,56.871162,"(x0 * ((x0 * 5.0220237) * x1)) + 3.3655186"
11,51.314415,"((x0 * (x1 * (x0 * 4.994969))) - x6) - -3.3173745"
12,35.912746,"((((x0 * x1) * x0) - abs(x2)) * 5.597458) + 7.884428"
14,30.858027,"7.804553 - (x6 + ((((x0 * x1) * x0) - abs(x2)) * -5.558491))"
16,28.439508,"((x0 * ((x1 * x0) * 5.294482)) - (x6 - 9.705244)) - abs(x2 * -7.9734793)"
17,28.439507,"((x0 * ((x1 * x0) * 5.2945232)) - (x6 - 9.70521)) - abs(abs(x2 * -7.9733763))"
18,25.031532,"((((((x0 * x0) * 2.1817718) * x1) - x6) - -3.9521077) - abs(x2 * 3.2626367)) * 2.3459764"
20,24.590382,"((((((x0 * 3.6423137) * x0) * x1) - x6) - (x6 - 6.561572)) - abs(x2 * 5.3694367)) * 1.4366635"
22,24.579336,"((-0.15333834 - (((x0 * -2.6167624) * (x0 + x0)) * x1)) - ((x6 - 3.224796) * 2.9725237)) - abs(x2 * -7.7498417)"
24,24.537304,"(((0.010840349 - (x0 * (-0.07258337 - (((x0 + x0) * 0.8834518) * x1)))) - (x6 - 3.1701353)) * 2.9716835) - abs(x2 * -7.7571917)"
26,24.506914,"((((-0.026529431 - x0) * (-0.093101606 - ((x0 + (x0 * 4.210214)) * x1))) - x19) - ((x6 - 3.1586607) * 2.9702702)) - abs(x2 * -7.7021704)"
28,24.17461,"((((-0.07703663 - x0) * ((x9 - ((x0 + x0) * 2.6106656)) * x1)) - (x19 * 0.5099155)) - ((x6 - 3.1366343) * 2.9859867)) - abs(x2 * -7.745896)"
