Complexity,Loss,Equation
1,107.68863,"3.3719015"
3,93.6964,"x1 * 4.9521728"
5,85.19791,"(x1 * 4.682352) + 2.9280376"
6,60.17992,"x1 * (abs(x0) * 8.033276)"
7,52.015972,"((x0 * x1) * 5.2923894) * x0"
9,43.54207,"(((x0 * x0) * x1) * 5.184832) - -2.9157934"
11,39.649128,"(((x1 * x0) * (x0 * 5.2105207)) - -3.0034294) - x6"
13,37.522247,"(x0 * ((x1 * x0) * 5.2481537)) - (-3.1319797 - (x6 * -2.4654708))"
15,35.65346,"((x0 * x0) * (x1 * 5.181337)) - (-3.119423 - ((x3 + -2.474402) * x6))"
17,35.444454,"(3.256453 - (x6 * ((x3 * -1.4335095) + 2.5860176))) - ((x0 * x0) * (x1 * -5.215829))"
19,35.300846,"((3.1028209 - (x6 * ((-0.66310734 * x3) + 2.4390562))) - (((x0 * x0) * x1) * -5.244339)) + x22"
21,35.217056,"(x0 * ((x0 * 5.233866) * x1)) - (-3.206939 - (((x3 + (x6 * (x38 * 0.63770175))) + -2.4980946) * x6))"
