Complexity,Loss,Equation
1,132.77428,"x1"
3,110.79706,"x1 * 5.8241343"
5,103.34738,"(x1 * 5.6595154) + 2.7337627"
6,66.50882,"(abs(x0) * x1) * 8.3752985"
7,56.502575,"(x0 * (x0 * x1)) * 4.7534013"
9,48.92251,"((x0 * 4.7062817) * (x1 * x0)) + 2.7543216"
11,44.82859,"(((x0 * 4.7150674) * x0) * x1) - (x6 + -2.7690432)"
13,42.465355,"((((x1 + x1) * x0) * x0) + (1.173584 - x6)) * 2.3749623"
14,31.034657,"(((abs(x2) * -1.4339576) + 1.6911346) + (x0 * (x0 * x1))) * 5.0595007"
16,26.759197,"(((abs(x2) * -1.438261) + ((x0 * (x1 * x0)) + 1.6961968)) * 5.0702257) - x6"
18,24.481777,"((((abs(x2) * -1.4425668) + (((x0 * x0) * x1) + 1.7014916)) * 5.0805955) - x6) - x6"
20,23.963713,"((((x1 * (x0 * x0)) + ((abs(x2) * -1.44783) + 1.7132139)) * 5.079358) - (x6 + x6)) + x27"
22,23.432121,"(((((x0 * x0) * (x1 + x1)) + (4.3601174 - x6)) * 2.5226226) - 2.275495) + ((-7.3398476 + x27) * abs(x2))"
26,23.361023,"((((((x1 + x1) * x0) * x0) + (4.3544583 - x6)) * 2.541356) - 2.278445) + (((x27 + -7.4855723) + (x0 * 0.23388892)) * abs(x2))"
27,22.954609,"(2.5226226 * ((4.0225673 + (((x1 + x1) * (x0 * x0)) - x6)) - (x29 * -0.10380751))) + (abs(x2) * (-7.3398476 + (abs(x2) + -2.158917)))"
28,22.387913,"((((((x1 + x1) * (x0 * x0)) - x6) + 3.6823347) - (x29 * -0.14849883)) * 2.5460505) + (abs(x2) * (abs(abs(x2 * x6)) + -9.454017))"
29,19.636572,"(((((((x1 + x1) * (x0 * x0)) + 7.75005) - x6) - 2.9491959) * 2.5427644) + (((x27 + abs(x2 * 4.7774453)) + -17.566757) * abs(x2))) + -0.07068375"
30,19.634396,"((((((x1 + x1) * (x0 * x0)) + 5.4981327) - x6) * 2.5340893) - 1.8321658) + ((((x27 + -17.403158) + abs(abs(x2 * 4.710187))) * abs(x2)) + -0.017547162)"
