Complexity,Loss,Equation
1,112.93093,"3.3794885"
3,105.861145,"x1 + 3.3903186"
5,94.75858,"(x1 - x6) * 3.8527207"
6,73.19905,"abs(x0) * (x1 * 7.616097)"
7,63.76561,"(x0 * 5.013168) * (x0 * x1)"
8,62.070576,"((x1 * abs(x0)) * 7.5945377) + 3.3359923"
9,53.10883,"((x1 * (x0 * x0)) - -0.6553287) * 4.982122"
10,39.068516,"((x1 * abs(x0)) - log(abs(x2))) * 5.360051"
11,26.254396,"((x0 * (x0 * x1)) - log(abs(x2))) * 4.9809875"
13,26.054321,"(((x1 * (x0 * x0)) - -0.08982305) - log(abs(x2))) * 4.9809875"
14,19.30005,"5.360051 * (((abs(x0 * x0) * x1) - x6) - log(abs(x2)))"
16,14.878767,"(((abs(x0 * x0) * x1) - (x6 * 0.6661996)) - log(abs(x2))) * 5.051322"
17,14.697263,"(((x1 * (x0 * x0)) - ((x6 * 0.67659223) + -0.08982305)) - log(abs(x2))) * 4.9809875"
18,14.697262,"((((abs(x0 * x0) * x1) - (x6 * 0.676565)) - log(abs(x2))) * 4.9811378) + 0.44711652"
19,14.697261,"((((x0 * x0) * x1) - ((x6 * 0.6765523) + 0.07004954)) - (log(abs(x2)) - 0.15982364)) * 4.981172"
28,14.653839,"((((abs(x0 * x0) * x1) - (x6 * 0.6734522)) - log(abs(x2))) * 4.9998817) + abs((((x0 * x1) + x14) - abs(x1)) * 0.28947443)"
