Complexity,Loss,Equation
1,67.37023,"0.275773"
2,66.80087,"abs(x15)"
3,43.01791,"x0 * 4.945423"
5,21.26604,"(x0 - x1) * 4.799493"
7,13.683386,"((x0 - x3) - x1) * 4.277518"
9,8.11016,"((x0 + (x2 - x1)) - x3) * 3.871782"
11,5.846172,"((x0 * 1.4912375) + ((x2 - x3) - x1)) * 3.4700935"
13,3.8085186,"(((x2 + x0) + ((x0 - x1) - x3)) - x1) * 2.4888868"
15,2.633787,"x4 + (2.564273 * ((((x2 - x1) + x0) + (x0 - x3)) - x1))"
17,1.586209,"(x4 + (((x0 + (x2 + ((x0 - x1) - x3))) - x1) * 2.581391)) - x5"
19,1.5861878,"(x4 + (((((x0 + x2) - x1) + (x0 - x3)) - x1) * 2.581337)) + (-0.0045217383 - x5)"
21,1.5596806,"x4 + ((x0 + (((x2 + (((x0 - x1) - x3) - x1)) * 2.6989393) - (-0.013607771 - x0))) - x5)"
23,1.5251698,"x0 + (((((((x2 + x0) - x1) - x3) - x1) * 2.6107516) - ((x2 * -0.20201841) - x0)) + (x4 - x5))"
25,1.2432938,"(((x0 + 5.5309997) - x1) + (((((x2 + (x0 - x1)) - x3) * 2.960046) - x1) - ((5.5474744 - x4) - x0))) - x5"
26,1.2432936,"(((5.5309997 + x0) - x1) + ((((x2 + ((x0 - x1) - x3)) * 2.960046) - x1) - (abs(x4 - 5.5474744) - x0))) - x5"
27,1.2220275,"((x4 + 5.284433) * 1.1473526) + (((((x2 + ((x0 - x1) - x3)) * 2.966393) - x1) - (6.0851097 - x0)) + ((x0 - x1) - x5))"
