Complexity,Loss,Equation
1,1.1217737,"0.023294415"
3,1.1062917,"x9 * -0.12692043"
5,1.0866351,"x0 * (x21 * 0.19299687)"
7,1.0822914,"(x9 * (x17 + x13)) * -0.14368469"
8,1.0762433,"(abs(x12) + x21) * (x0 * 0.15306354)"
9,1.068092,"abs(x13 + abs(x30)) * (x9 * -0.1610654)"
10,1.0605409,"x9 * ((abs(x13) + (x17 + x13)) * -0.1398692)"
11,1.0514637,"((x17 + abs(abs(x30) + x13)) * x9) * -0.15011548"
12,1.0511367,"((x13 + (x17 + abs(x49 + x13))) * x9) * -0.12856255"
13,1.0445403,"(((x38 * (x48 + x49)) + (x17 + x13)) * x9) * -0.12856255"
14,1.0402137,"((x38 * (x48 + x49)) + (abs(x13) + x13)) * (x9 * -0.12856255)"
15,1.0328144,"-0.15011548 * ((((x38 * (x29 + (x49 - 0.932404))) + x13) + x17) * x9)"
16,1.0262992,"((((x38 * (x48 + x49)) + abs(x13)) + (x17 + x13)) * x9) * -0.12856255"
17,1.0211076,"((x17 + ((x13 + (x38 * ((x49 - 0.8301865) + x29))) - -0.73646057)) * x9) * -0.1465942"
18,1.0124638,"(x13 + ((x38 * (x29 + (x49 - 0.932404))) + (abs(x13) + x17))) * (-0.15011548 * x9)"
20,1.0065432,"((((((((x29 - x36) + x49) - 1.0587219) * x38) + x13) + abs(x13)) + x17) * x9) * -0.14344837"
21,0.9983512,"((x13 + (((x38 * (((x29 - x36) + x49) - abs(x35))) + abs(x13)) + x17)) * -0.15011548) * x9"
27,0.9958918,"x9 * ((((((x13 * (x38 * -0.45609882)) + ((x49 * 0.87502897) + x13)) * x13) + ((x48 + x49) * x38)) + (x17 + x13)) * -0.13485314)"
