Complexity,Loss,Equation
1,0.9708378,"-0.16744523"
4,0.95280755,"abs(x9) * -0.21701606"
6,0.93504196,"abs(x43 - x48) * -0.17117158"
8,0.93191475,"abs(x44 * (x30 - x9)) * -0.21360478"
10,0.929014,"((x41 - x20) * 0.10587905) - (abs(x9) * 0.22078133)"
11,0.9182402,"abs(x9 - (abs(x3 * x44) * x30)) * -0.2659391"
13,0.91629595,"(-0.2659391 * 0.8507721) * abs(x9 - (x30 * abs(x44 * x3)))"
14,0.907228,"(-0.3484762 * abs(x9 - (x30 * abs(x3 * x44)))) + abs(0.16644591)"
17,0.9063159,"(abs(x9 - ((x30 * -1.826664) * (abs(x44 * x3) * -0.493739))) * -0.3484762) + 0.16644591"
19,0.9051983,"((abs(abs(((((x10 + -1.6559916) * x48) + -1.4239633) + x24) + 0.9749855)) - x41) + x20) * -0.121846244"
21,0.89882773,"((abs(((x10 + -1.2694565) * x48) + (-1.1665304 + (x24 + abs(x6 + x16)))) - x41) * -0.18624921) - -0.10624123"
22,0.89804024,"((abs((-1.1665304 + (x24 + abs(x6 + x16))) + ((x10 + log(0.3412995)) * x48)) - x41) * -0.18624921) - -0.07872686"
23,0.89163226,"((-1.0571296 - x41) + abs(abs(((x6 + (x11 + x43)) + x24) + (((-1.8910736 * x48) + x12) * 0.5696398)))) * -0.15592699"
24,0.8830074,"((-1.0571296 - x41) + abs(((x6 + x11) + (x43 + x24)) + (((-1.8910736 * x48) + (x11 + x12)) * 0.5696398))) * -0.15592699"
27,0.8818649,"(-1.0571296 + abs(abs((x6 + x43) + (x11 + (x24 + (((x12 + ((x15 + (x10 + -1.8910736)) * x48)) + x11) * 0.5696398)))))) * -0.15592699"
28,0.8652107,"(abs(((abs(x6 + (x16 - -0.0006032237)) + x24) + ((x48 * ((x14 + x10) + -0.43933803)) + abs(x36 + 0.95251834))) + -2.746522) - 0.90413) * -0.2369066"
