Complexity,Loss,Equation
1,168.9806,"3.8788054"
3,143.30498,"x1 * 6.694846"
5,125.34632,"(x1 + 0.611611) * 6.939444"
6,78.0157,"x1 * abs(x0 * 9.893116)"
7,62.96851,"(x0 * (x1 * x0)) * 5.3564825"
9,51.025326,"((x1 * (x0 * 5.2910657)) * x0) + 3.4586697"
11,17.299437,"(((x1 * x0) * x0) - log(abs(x2))) * 5.096134"
13,11.684193,"(((x1 * (x0 * x0)) - log(abs(x2))) - x5) * 4.700849"
15,9.6530285,"((((x1 * (x0 * x0)) - log(abs(x2))) - x5) * 4.846005) + x5"
17,9.063018,"((((x1 * (x0 * x0)) - log(abs(x2))) - x5) * 4.991112) + (x5 + x5)"
21,9.062013,"(((((x1 * (x0 * x0)) - log(abs(x2))) - x5) * 4.990521) + x5) + (x5 + (x28 * 0.032556586))"
23,9.050638,"(x5 * (((x0 * x0) * -0.072968215) + 1.9625257)) + (((((x1 * x0) * x0) - log(abs(x2))) - x5) * 4.9679213)"
