eq_y,eq_d,loss_y,loss_d,terms_added,dict_size,n_selected,S_y,S_d,S_union
x2*2.9418473 + x3*2.0189266 + x4 - x5 + (x0 - x1 - x3)*5.0185847 - 0.031192988,x34*0.1458083,1.2519057,0.80374897,0,50,6,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]",[],"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]"
-x1 + x4 - x5 + (x0 - x1 + (x2 - x3)*0.68184054)*4.4006524,(0.0949979903201536*x40**2)*x46,1.1861078,0.8176786,1,51,7,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]",[np.int64(50)],"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(50)]"
x4 - x5 + (x0 + x0 - x1 - x1 + x2 - x3)*2.5851254,x33*0.11250326,1.1927321,0.82836646,0,50,6,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]",[],"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]"
x1*(-5.0727086) - x5 - (-2.9079988)*(x2 + x4*0.3502439 - (x0*(-1.7184968) + x3)) - 0.005850977,(x36 + x48 + x7)*(-x27 + x42 + x42 + 2.003238)*(x47 - 0.775817)*(-0.05420404),1.2552823,0.92148054,9,59,6,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]",[],"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]"
x4 - x5 + (-x3 + (x0 - x1 - 0.6038041*(x0 - (x0 + x2)))*1.7226149)*2.9025872,x14**2*x5*(-0.11216885),1.3984995,0.92881346,1,51,8,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(20), np.int64(50)]",[np.int64(50)],"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(20), np.int64(50)]"
-x1 - x1 + x4 + (x0 - x1 + x2 + x2 - x3 - x5 - (x1 - 0.72081006) - (x3 + (x0 - 0.31045553)*(-2.3949742)))*1.4683124,(x32**2 + x8 - (-x18 + x48) - 1.77793)*(-0.06398576)*(x14 + x20 - x26),1.214754,1.0020168,12,62,6,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]",[],"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]"
x4 - x5 + (x0 - x1 + x2 - (x3 - (-x1 - (0.6270052 - x0) - 0.99269944)) - 0.3716272 - 1*(-2.0242794))*2.595814,(x12*(x16 - x34) - x16 + x32)*0.13048688,1.1966302,0.8958995,2,52,6,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]",[],"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]"
x4 - (x5 + 0.0050346185) + (x2 - x3 + (x0 - x1)*1.6718302)*2.9984345,(x30 + x33)*(-0.12961228),1.188604,0.9032211,0,50,6,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]",[],"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]"
-x5 + (-x1 + (x2 + x4*0.36611772 - (-x0 - x0 - (0.9097885 - x3) + 0.925078))*0.5290032)*5.0555983,(x33**2*x40**2)*(-0.05115981),1.2361354,0.8936956,0,50,6,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]",[],"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]"
x2 + x4 - 4.992366*(-x0 + x1 + x3*0.60613906) - (-x2 - x2 + x5),x43*(0.18214555 - 0.03749293*x2**2*x28**2),1.2473302,0.9209889,0,50,6,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]",[],"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]"
