seed,failed,beta_hat,se,ci_low,ci_high,dgp,estimator,dgp_label,est_label,beta0,epds_variant,pre_lasso_terms_y,pre_lasso_terms_d,post_lasso_terms_y,post_lasso_terms_d,term_coefs_y,term_coefs_d,du_selected
0,False,-0.0038658605190722887,0.42129719088520284,-0.8296083546540699,0.8218766336159252,dgp1,naive_ols,Linear,Naive OLS,0.5,,nan,nan,nan,nan,nan,nan,nan
1,False,-0.5607868180083095,0.37349527248959785,-1.2928375520879212,0.1712639160713022,dgp1,naive_ols,Linear,Naive OLS,0.5,,nan,nan,nan,nan,nan,nan,nan
2,False,0.24463174044421773,0.3793723069839031,-0.4989379812442324,0.9882014621326679,dgp1,naive_ols,Linear,Naive OLS,0.5,,nan,nan,nan,nan,nan,nan,nan
3,False,0.03526372616869906,0.40107437379890765,-0.7508420464771599,0.8213694988145581,dgp1,naive_ols,Linear,Naive OLS,0.5,,nan,nan,nan,nan,nan,nan,nan
4,False,0.9840403990068303,0.340248370766094,0.31715359230528606,1.6509272057083746,dgp1,naive_ols,Linear,Naive OLS,0.5,,nan,nan,nan,nan,nan,nan,nan
5,False,0.7153244382794617,0.3736185580733297,-0.016967935544264567,1.4476168121031878,dgp1,naive_ols,Linear,Naive OLS,0.5,,nan,nan,nan,nan,nan,nan,nan
6,False,-0.056315321980606396,0.35067733995151373,-0.7436429082855733,0.6310122643243605,dgp1,naive_ols,Linear,Naive OLS,0.5,,nan,nan,nan,nan,nan,nan,nan
7,False,0.5934499093056965,0.3490595351466093,-0.09070677958165774,1.2776065981930507,dgp1,naive_ols,Linear,Naive OLS,0.5,,nan,nan,nan,nan,nan,nan,nan
8,False,0.4122755359063978,0.3911275211058969,-0.3543344054611601,1.1788854772739557,dgp1,naive_ols,Linear,Naive OLS,0.5,,nan,nan,nan,nan,nan,nan,nan
9,False,0.1998913536420155,0.3444106986066804,-0.47515361562707803,0.874936322911109,dgp1,naive_ols,Linear,Naive OLS,0.5,,nan,nan,nan,nan,nan,nan,nan
0,False,0.47160413098626563,0.052239736796689744,0.36921424686475374,0.5739940151077776,dgp1,full_ols,Linear,Full OLS (infeasible),0.5,,nan,nan,nan,nan,nan,nan,nan
1,False,0.47659796152120865,0.050549332536597026,0.37752126974947847,0.5756746532929389,dgp1,full_ols,Linear,Full OLS (infeasible),0.5,,nan,nan,nan,nan,nan,nan,nan
2,False,0.4731316008038085,0.04796285889173687,0.37912439737600423,0.5671388042316128,dgp1,full_ols,Linear,Full OLS (infeasible),0.5,,nan,nan,nan,nan,nan,nan,nan
3,False,0.4702172688821126,0.04850863984940463,0.37514033477727954,0.5652942029869457,dgp1,full_ols,Linear,Full OLS (infeasible),0.5,,nan,nan,nan,nan,nan,nan,nan
4,False,0.5367314208019621,0.04811826631398127,0.44241961882655884,0.6310432227773655,dgp1,full_ols,Linear,Full OLS (infeasible),0.5,,nan,nan,nan,nan,nan,nan,nan
5,False,0.436953411047913,0.04635068147847218,0.3461060753501075,0.5278007467457185,dgp1,full_ols,Linear,Full OLS (infeasible),0.5,,nan,nan,nan,nan,nan,nan,nan
6,False,0.5247955808708739,0.048436339540763776,0.4298603553709769,0.6197308063707708,dgp1,full_ols,Linear,Full OLS (infeasible),0.5,,nan,nan,nan,nan,nan,nan,nan
7,False,0.5422342856613511,0.04986907303471702,0.44449090251330575,0.6399776688093964,dgp1,full_ols,Linear,Full OLS (infeasible),0.5,,nan,nan,nan,nan,nan,nan,nan
8,False,0.48065338844359534,0.051209753179732864,0.38028227221131894,0.5810245046758717,dgp1,full_ols,Linear,Full OLS (infeasible),0.5,,nan,nan,nan,nan,nan,nan,nan
9,False,0.533703069605646,0.04344396460789297,0.4485528989741757,0.6188532402371162,dgp1,full_ols,Linear,Full OLS (infeasible),0.5,,nan,nan,nan,nan,nan,nan,nan
0,False,0.49059411252652263,0.04905090978559485,0.3944543293467567,0.5867338957062885,dgp1,pds_lasso,Linear,PDS-LASSO,0.5,,nan,nan,nan,nan,nan,nan,nan
1,False,0.4801811273556291,0.04606674969252548,0.3898902979582792,0.570471956752979,dgp1,pds_lasso,Linear,PDS-LASSO,0.5,,nan,nan,nan,nan,nan,nan,nan
2,False,0.45909140805711923,0.048076761700188486,0.3648609551247498,0.5533218609894887,dgp1,pds_lasso,Linear,PDS-LASSO,0.5,,nan,nan,nan,nan,nan,nan,nan
3,False,0.46828788275586875,0.04362904849525503,0.3827749477051689,0.5538008178065686,dgp1,pds_lasso,Linear,PDS-LASSO,0.5,,nan,nan,nan,nan,nan,nan,nan
4,False,0.5477581435545194,0.045042678484606,0.4594744937246916,0.6360417933843471,dgp1,pds_lasso,Linear,PDS-LASSO,0.5,,nan,nan,nan,nan,nan,nan,nan
5,False,0.42349653347866456,0.04403371321511341,0.3371904555770423,0.5098026113802868,dgp1,pds_lasso,Linear,PDS-LASSO,0.5,,nan,nan,nan,nan,nan,nan,nan
6,False,0.5097147948640686,0.043286960519772176,0.4248723522453151,0.5945572374828221,dgp1,pds_lasso,Linear,PDS-LASSO,0.5,,nan,nan,nan,nan,nan,nan,nan
7,False,0.5602150651850896,0.046904233982699536,0.4682827665789985,0.6521473637911807,dgp1,pds_lasso,Linear,PDS-LASSO,0.5,,nan,nan,nan,nan,nan,nan,nan
8,False,0.4870236168389747,0.04691786036913763,0.39506461051546493,0.5789826231624845,dgp1,pds_lasso,Linear,PDS-LASSO,0.5,,nan,nan,nan,nan,nan,nan,nan
9,False,0.5080576152473797,0.04195525601136146,0.4258253134651112,0.5902899170296482,dgp1,pds_lasso,Linear,PDS-LASSO,0.5,,nan,nan,nan,nan,nan,nan,nan
0,False,0.4757858805382091,0.056916276150187475,0.36422997928384165,0.5873417817925766,dgp1,dml_lasso,Linear,DML-LASSO,0.5,,nan,nan,nan,nan,nan,nan,nan
1,False,0.42465051986389285,0.05288901554751263,0.3209880493907681,0.5283129903370176,dgp1,dml_lasso,Linear,DML-LASSO,0.5,,nan,nan,nan,nan,nan,nan,nan
2,False,0.4514024661706157,0.05337704235539496,0.34678346315404157,0.5560214691871899,dgp1,dml_lasso,Linear,DML-LASSO,0.5,,nan,nan,nan,nan,nan,nan,nan
3,False,0.4379311639226151,0.04910221429299117,0.3416908239083524,0.5341715039368778,dgp1,dml_lasso,Linear,DML-LASSO,0.5,,nan,nan,nan,nan,nan,nan,nan
4,False,0.5760907052935962,0.04751287153122411,0.4829654770923969,0.6692159334947955,dgp1,dml_lasso,Linear,DML-LASSO,0.5,,nan,nan,nan,nan,nan,nan,nan
5,False,0.43929987303349916,0.04802286066217015,0.34517506613564564,0.5334246799313527,dgp1,dml_lasso,Linear,DML-LASSO,0.5,,nan,nan,nan,nan,nan,nan,nan
6,False,0.4929110635254996,0.046999574331565735,0.4007918978356308,0.5850302292153685,dgp1,dml_lasso,Linear,DML-LASSO,0.5,,nan,nan,nan,nan,nan,nan,nan
7,False,0.5454372791484339,0.050183037324552746,0.44707852599231046,0.6437960323045573,dgp1,dml_lasso,Linear,DML-LASSO,0.5,,nan,nan,nan,nan,nan,nan,nan
8,False,0.4788572754974944,0.05008865938768211,0.3806835030976375,0.5770310478973514,dgp1,dml_lasso,Linear,DML-LASSO,0.5,,nan,nan,nan,nan,nan,nan,nan
9,False,0.4904819494074772,0.048000247252480865,0.3964014647926147,0.5845624340223396,dgp1,dml_lasso,Linear,DML-LASSO,0.5,,nan,nan,nan,nan,nan,nan,nan
0,False,0.5077255055008206,0.12318246236592044,0.2662878792636166,0.7491631317380247,dgp1,dml_nn,Linear,DML-NN,0.5,,nan,nan,nan,nan,nan,nan,nan
1,False,0.2158985297789154,0.18403009422232194,-0.1448004548968356,0.5765975144546664,dgp1,dml_nn,Linear,DML-NN,0.5,,nan,nan,nan,nan,nan,nan,nan
2,False,0.5706091255115162,0.12812668219770437,0.31948082840401565,0.8217374226190168,dgp1,dml_nn,Linear,DML-NN,0.5,,nan,nan,nan,nan,nan,nan,nan
3,False,0.521256751620828,0.13632410139168,0.25406151289313517,0.7884519903485208,dgp1,dml_nn,Linear,DML-NN,0.5,,nan,nan,nan,nan,nan,nan,nan
4,False,0.6506355216770058,0.11847066755815759,0.4184330132630169,0.8828380300909946,dgp1,dml_nn,Linear,DML-NN,0.5,,nan,nan,nan,nan,nan,nan,nan
5,False,0.6305153568754279,0.1250756558982412,0.38536707131487513,0.8756636424359807,dgp1,dml_nn,Linear,DML-NN,0.5,,nan,nan,nan,nan,nan,nan,nan
6,False,0.46721412829139575,0.11528022375404272,0.24126488973347202,0.6931633668493195,dgp1,dml_nn,Linear,DML-NN,0.5,,nan,nan,nan,nan,nan,nan,nan
7,False,0.7669841110966681,0.12184664779515354,0.5281646814181671,1.005803540775169,dgp1,dml_nn,Linear,DML-NN,0.5,,nan,nan,nan,nan,nan,nan,nan
8,False,0.6086483069268406,0.10775829226965604,0.39744205407831473,0.8198545597753664,dgp1,dml_nn,Linear,DML-NN,0.5,,nan,nan,nan,nan,nan,nan,nan
9,False,0.6042149851439474,0.13399212604567215,0.34159041809443,0.8668395521934649,dgp1,dml_nn,Linear,DML-NN,0.5,,nan,nan,nan,nan,nan,nan,nan
