seed,failed,beta_hat,se,ci_low,ci_high,dgp,estimator,dgp_label,est_label,beta0
0,False,0.5077255055008206,0.12318246236592044,0.2662878792636166,0.7491631317380247,dgp1,dml_nn,Linear,DML-NN,0.5
1,False,0.2158985297789154,0.18403009422232194,-0.1448004548968356,0.5765975144546664,dgp1,dml_nn,Linear,DML-NN,0.5
2,False,0.5706091255115162,0.12812668219770437,0.31948082840401565,0.8217374226190168,dgp1,dml_nn,Linear,DML-NN,0.5
3,False,0.521256751620828,0.13632410139168,0.25406151289313517,0.7884519903485208,dgp1,dml_nn,Linear,DML-NN,0.5
4,False,0.6506355216770058,0.11847066755815759,0.4184330132630169,0.8828380300909946,dgp1,dml_nn,Linear,DML-NN,0.5
5,False,0.6305153568754279,0.1250756558982412,0.38536707131487513,0.8756636424359807,dgp1,dml_nn,Linear,DML-NN,0.5
6,False,0.46721412829139575,0.11528022375404272,0.24126488973347202,0.6931633668493195,dgp1,dml_nn,Linear,DML-NN,0.5
7,False,0.7669841110966681,0.12184664779515354,0.5281646814181671,1.005803540775169,dgp1,dml_nn,Linear,DML-NN,0.5
8,False,0.6086483069268406,0.10775829226965604,0.39744205407831473,0.8198545597753664,dgp1,dml_nn,Linear,DML-NN,0.5
9,False,0.6042149851439474,0.13399212604567215,0.34159041809443,0.8668395521934649,dgp1,dml_nn,Linear,DML-NN,0.5
