seed,failed,beta_hat,se,ci_low,ci_high,dgp,estimator,dgp_label,est_label,beta0
0,False,0.6748215473398729,0.4042361630193434,-0.11748133217804013,1.4671244268577859,dgp2,full_ols,Quadratic,Full OLS (infeasible),0.5
1,False,0.5737565682681126,0.41731153043801117,-0.2441740313903893,1.3916871679266145,dgp2,full_ols,Quadratic,Full OLS (infeasible),0.5
2,False,0.2573410823859271,0.4014608838269135,-0.5295222499148232,1.0442044146866776,dgp2,full_ols,Quadratic,Full OLS (infeasible),0.5
3,False,0.5515617740995747,0.4217995640658626,-0.2751653714695159,1.3782889196686654,dgp2,full_ols,Quadratic,Full OLS (infeasible),0.5
4,False,0.38125888838744193,0.38355162986376723,-0.3705023061455418,1.1330200829204258,dgp2,full_ols,Quadratic,Full OLS (infeasible),0.5
5,False,0.24051767238238236,0.39251673178002444,-0.5288151219064656,1.0098504666712302,dgp2,full_ols,Quadratic,Full OLS (infeasible),0.5
6,False,0.38364316975352863,0.35168969936172045,-0.30566864099544344,1.0729549805025007,dgp2,full_ols,Quadratic,Full OLS (infeasible),0.5
7,False,0.5476626755220394,0.39716888543690704,-0.23078833993429837,1.326113690978377,dgp2,full_ols,Quadratic,Full OLS (infeasible),0.5
8,False,0.0076778937805528375,0.34117269980135567,-0.6610205978301043,0.6763763853912099,dgp2,full_ols,Quadratic,Full OLS (infeasible),0.5
9,False,0.22089285434033448,0.4257295049888527,-0.6135369754378168,1.0553226841184857,dgp2,full_ols,Quadratic,Full OLS (infeasible),0.5
