seed,failed,beta_hat,se,ci_low,ci_high,dgp,estimator,dgp_label,est_label,beta0
0,False,1.1901377335428591,0.49217079112899936,0.22548298293002034,2.154792484155698,dgp2,naive_ols,Quadratic,Naive OLS,0.5
1,False,0.046527894299602204,0.450292749327882,-0.8360458943830464,0.9291016829822509,dgp2,naive_ols,Quadratic,Naive OLS,0.5
2,False,0.338473254754229,0.42487948126816394,-0.4942905285313723,1.1712370380398303,dgp2,naive_ols,Quadratic,Naive OLS,0.5
3,False,0.313889710207906,0.4701883951982151,-0.6076795443805956,1.2354589647964076,dgp2,naive_ols,Quadratic,Naive OLS,0.5
4,False,0.47682504879138976,0.42062924121093287,-0.3476082639820387,1.3012583615648183,dgp2,naive_ols,Quadratic,Naive OLS,0.5
5,False,0.7122383096368379,0.4469055347064384,-0.16369653838778142,1.588173157661457,dgp2,naive_ols,Quadratic,Naive OLS,0.5
6,False,0.31475886769420763,0.4142706170071556,-0.49721154163981734,1.1267292770282327,dgp2,naive_ols,Quadratic,Naive OLS,0.5
7,False,0.5946947938171117,0.46569302750677966,-0.31806354009617643,1.5074531277303997,dgp2,naive_ols,Quadratic,Naive OLS,0.5
8,False,0.037600305668629805,0.43675393244643446,-0.8184374019263817,0.8936380132636413,dgp2,naive_ols,Quadratic,Naive OLS,0.5
9,False,0.021083688088784525,0.4866113187402023,-0.932674496642012,0.9748418728195811,dgp2,naive_ols,Quadratic,Naive OLS,0.5
