seed,failed,beta_hat,se,ci_low,ci_high,dgp,estimator,dgp_label,est_label,beta0
0,False,0.6941921439633032,0.22650854520668684,0.250235395358197,1.1381488925684093,dgp3,dml_lasso,Interactions,DML-LASSO,0.5
1,False,0.31637178539420713,0.24778763534854154,-0.1692919798889343,0.8020355506773486,dgp3,dml_lasso,Interactions,DML-LASSO,0.5
2,False,0.24201323334001598,0.2862680429250105,-0.31907213079300456,0.8030985974730366,dgp3,dml_lasso,Interactions,DML-LASSO,0.5
3,False,0.3565654558111642,0.34041081599313,-0.31063974353537055,1.023770655157699,dgp3,dml_lasso,Interactions,DML-LASSO,0.5
4,False,0.45942932770758255,0.22862805699560684,0.01131833599619314,0.907540319418972,dgp3,dml_lasso,Interactions,DML-LASSO,0.5
5,False,0.8397353909209562,0.28173614295149974,0.2875325507360167,1.3919382311058957,dgp3,dml_lasso,Interactions,DML-LASSO,0.5
6,False,0.6102906129919982,0.24372473813544693,0.13259012624652217,1.0879910997374742,dgp3,dml_lasso,Interactions,DML-LASSO,0.5
7,False,0.16311655342073406,0.24688439334393164,-0.32077685753337193,0.64700996437484,dgp3,dml_lasso,Interactions,DML-LASSO,0.5
8,False,0.8560513165417799,0.254140639782561,0.35793566256796033,1.3541669705155994,dgp3,dml_lasso,Interactions,DML-LASSO,0.5
9,False,0.5225952502583473,0.2557468064090336,0.02133150969664155,1.023858990820053,dgp3,dml_lasso,Interactions,DML-LASSO,0.5
