seed,failed,beta_hat,se,ci_low,ci_high,epds_variant,pre_lasso_terms_y,pre_lasso_terms_d,post_lasso_terms_y,post_lasso_terms_d,term_coefs_y,term_coefs_d,du_selected,dgp,estimator,dgp_label,est_label,beta0
0,False,0.49725367926232844,0.04986789459402009,0.39951260585804904,0.5949947526666078,epds_du,"[('int', 0, 1), ('int', 3, 4)]","[('int', 2, 12), ('int', 2, 15), ('int', 2, 38), ('int', 9, 12), ('int', 12, 15), ('int', 12, 24), ('int', 12, 46), ('int', 15, 24), ('int', 24, 38)]","[('int', 0, 1), ('int', 3, 4)]",[],"{('int', 0, 1): 4.97330517118047, ('int', 3, 4): 2.9401040056859253}",{},"[0, 1, 2, 3, 4, 9, 10, 12, 13, 15, 20, 22, 24, 28, 33, 36, 38, 40, 46, 49]",dgp3,epds_du,Interactions,EPDS + Du et al.,0.5
1,False,0.48627658848753014,0.04545532966211578,0.3971841423497832,0.5753690346252771,epds_du,"[('int', 0, 1), ('int', 3, 4)]","[('int', 9, 40), ('int', 12, 15), ('int', 15, 26), ('int', 15, 39), ('int', 15, 46)]","[('int', 0, 1), ('int', 3, 4), ('int', 15, 26)]","[('int', 15, 26)]","{('int', 0, 1): 4.919228633949628, ('int', 3, 4): 3.13342552625472}","{('int', 15, 26): -0.09071497286960058}","[0, 1, 2, 3, 4, 9, 12, 14, 15, 18, 23, 24, 25, 26, 27, 30, 37, 39, 40, 42, 46]",dgp3,epds_du,Interactions,EPDS + Du et al.,0.5
2,False,0.45174544449297793,0.048911985529895535,0.3558779528543827,0.5476129361315731,epds_du,"[('int', 0, 1), ('int', 3, 4)]","[('int', 20, 29)]","[('int', 0, 1), ('int', 3, 4)]",[],"{('int', 0, 1): 5.01851252875569, ('int', 3, 4): 2.9613033046526533}",{},"[0, 1, 2, 3, 4, 13, 18, 20, 26, 29, 30, 31, 32, 41, 43, 45, 47]",dgp3,epds_du,Interactions,EPDS + Du et al.,0.5
3,False,0.4825106646176395,0.14084126009193124,0.20646179483745425,0.7585595343978246,epds_du,"[('int', 0, 1)]","[('int', 1, 42), ('int', 1, 47), ('int', 42, 48), ('int', 47, 48)]","[('int', 0, 1), ('int', 1, 47)]","[('int', 1, 47)]","{('int', 0, 1): 5.022595639669496}","{('int', 1, 47): -0.4187123820048595}","[0, 1, 3, 4, 10, 12, 21, 30, 33, 42, 43, 44, 45, 47, 48, 49]",dgp3,epds_du,Interactions,EPDS + Du et al.,0.5
4,False,0.5524528207965528,0.04522178988298244,0.4638181126259072,0.6410875289671983,epds_du,"[('int', 0, 1), ('int', 3, 4)]","[('int', 1, 32), ('int', 2, 18), ('int', 2, 27), ('int', 8, 28), ('int', 15, 32), ('int', 20, 35), ('int', 25, 28), ('int', 28, 30), ('int', 28, 35)]","[('int', 0, 1), ('int', 3, 4)]",[],"{('int', 0, 1): 4.94840854723219, ('int', 3, 4): 2.9290839918797755}",{},"[0, 1, 2, 3, 4, 8, 9, 15, 18, 20, 25, 27, 28, 30, 32, 33, 35, 39, 44]",dgp3,epds_du,Interactions,EPDS + Du et al.,0.5
5,False,0.4248100227546584,0.04400010763681134,0.33856981178650813,0.5110502337228087,epds_du,"[('int', 0, 1), ('int', 3, 4)]","[('int', 2, 22)]","[('int', 0, 1), ('int', 3, 4)]",[],"{('int', 0, 1): 4.982330883337105, ('int', 3, 4): 3.0679606451527444}",{},"[0, 1, 2, 3, 4, 6, 8, 11, 18, 22, 23, 29, 30, 35, 37, 45, 49]",dgp3,epds_du,Interactions,EPDS + Du et al.,0.5
6,False,0.5080222272522247,0.04289763453169601,0.42394286357010047,0.5921015909343489,epds_du,"[('int', 0, 1), ('int', 3, 4)]","[('int', 2, 31), ('int', 27, 31)]","[('int', 0, 1), ('int', 3, 4)]",[],"{('int', 0, 1): 4.986920090494029, ('int', 3, 4): 2.950503115884418}",{},"[0, 1, 2, 3, 4, 12, 16, 18, 21, 24, 27, 31, 34, 36, 44, 47]",dgp3,epds_du,Interactions,EPDS + Du et al.,0.5
7,False,0.5502080598682294,0.04725218621859102,0.457593774879791,0.6428223448566678,epds_du,"[('int', 0, 1), ('int', 3, 4)]",[],"[('int', 0, 1), ('int', 3, 4)]",[],"{('int', 0, 1): 4.951540205979906, ('int', 3, 4): 2.988003105314987}",{},"[0, 1, 2, 3, 4, 12, 13, 14, 15, 17, 28, 32, 34, 42, 46, 48]",dgp3,epds_du,Interactions,EPDS + Du et al.,0.5
8,False,0.4960830343806842,0.04799538708717197,0.4020120756898271,0.5901539930715413,epds_du,"[('int', 0, 1), ('int', 3, 4)]","[('cubic', 33, 40), ('cubic', 33, 46)]","[('cubic', 33, 40), ('cubic', 33, 46), ('int', 0, 1), ('int', 3, 4)]","[('cubic', 33, 40), ('cubic', 33, 46)]","{('int', 0, 1): 5.018628814321226, ('int', 3, 4): 2.964818087427308}","{('cubic', 33, 40): 0.0014866217607160098, ('cubic', 33, 46): -0.03975578010956423}","[0, 1, 2, 3, 4, 5, 8, 10, 17, 21, 30, 33, 34, 38, 40, 46, 48]",dgp3,epds_du,Interactions,EPDS + Du et al.,0.5
9,False,0.5082301321140077,0.04214166558685097,0.4256324675637798,0.5908277966642356,epds_du,"[('int', 0, 1), ('int', 3, 4)]","[('int', 8, 24)]","[('int', 0, 1), ('int', 3, 4)]",[],"{('int', 0, 1): 4.974523064892624, ('int', 3, 4): 3.0229372473127176}",{},"[0, 1, 2, 3, 4, 8, 12, 17, 21, 24, 25, 26, 35, 39, 42, 44, 48]",dgp3,epds_du,Interactions,EPDS + Du et al.,0.5
