seed,failed,beta_hat,se,ci_low,ci_high,epds_variant,pre_lasso_terms_y,pre_lasso_terms_d,post_lasso_terms_y,post_lasso_terms_d,term_coefs_y,term_coefs_d,dgp,estimator,dgp_label,est_label,beta0
0,False,0.6376894052307388,0.40930065669486043,-0.16453988189118762,1.4399186923526652,epds,"[('int', 3, 4)]",[],"[('int', 3, 4)]",[],"{('int', 3, 4): 3.07172582582359}",{},dgp4,epds,Mixed nonlinear,EPDS,0.5
1,False,-0.28262210668844057,0.27485538849341645,-0.8213386681355368,0.25609445475865567,epds,"[('cubic', 0, 1), ('int', 0, 46), ('sq', 2, None)]","[('int', 0, 23), ('int', 0, 46), ('int', 5, 19), ('int', 5, 23), ('int', 5, 46), ('int', 19, 24), ('int', 19, 46), ('int', 19, 49)]","[('cubic', 0, 1), ('int', 0, 23), ('int', 0, 46), ('int', 5, 46), ('int', 19, 46), ('sq', 2, None)]","[('int', 0, 23), ('int', 0, 46), ('int', 5, 46), ('int', 19, 46)]","{('cubic', 0, 1): 4.774596710428805, ('int', 0, 46): 0.29219848996904785, ('sq', 2, None): -2.1650564234677003}","{('int', 0, 23): -0.454779369357325, ('int', 0, 46): 0.29219848996904785, ('int', 5, 46): -0.43380758689933135, ('int', 19, 46): 0.2127730268422466}",dgp4,epds,Mixed nonlinear,EPDS,0.5
2,False,0.7575014289668488,0.3141654806868543,0.14173708682061437,1.3732657711130831,epds,"[('cubic', 0, 1)]",[],"[('cubic', 0, 1)]",[],"{('cubic', 0, 1): 4.955925046170684}",{},dgp4,epds,Mixed nonlinear,EPDS,0.5
3,False,0.42657041123949013,0.2552114923378796,-0.07364411374275381,0.9267849362217341,epds,"[('cubic', 0, 1)]","[('int', 31, 44), ('int', 33, 44), ('int', 39, 43), ('int', 42, 44)]","[('cubic', 0, 1), ('int', 39, 43)]","[('int', 39, 43)]","{('cubic', 0, 1): 5.212683802701862}","{('int', 39, 43): 0.2444594033704682}",dgp4,epds,Mixed nonlinear,EPDS,0.5
4,False,0.3261396613227468,0.3113302745720131,-0.2840676768383989,0.9363469994838924,epds,"[('cubic', 0, 1)]","[('int', 15, 30)]","[('cubic', 0, 1)]",[],"{('cubic', 0, 1): 4.920146719000312}",{},dgp4,epds,Mixed nonlinear,EPDS,0.5
5,False,0.41849880682345936,0.2036511940051331,0.019342466573398498,0.8176551470735203,epds,"[('cubic', 0, 1), ('int', 3, 4)]","[('int', 0, 49), ('int', 15, 49), ('int', 17, 49), ('int', 45, 49)]","[('cubic', 0, 1), ('int', 0, 49), ('int', 3, 4), ('int', 15, 49)]","[('int', 0, 49), ('int', 15, 49)]","{('cubic', 0, 1): 4.88526391594154, ('int', 3, 4): 3.396486504786688}","{('int', 0, 49): 0.2540622224974317, ('int', 15, 49): -0.3357898582932741}",dgp4,epds,Mixed nonlinear,EPDS,0.5
6,False,0.2902702757890044,0.247358272138469,-0.19455193760239486,0.7750924891804036,epds,"[('cubic', 0, 1), ('sq', 0, None)]","[('int', 6, 32), ('int', 20, 32)]","[('cubic', 0, 1), ('int', 20, 32), ('sq', 0, None)]","[('int', 20, 32)]","{('cubic', 0, 1): 5.374817480963103, ('sq', 0, None): 0.17235745024718943}","{('int', 20, 32): -0.8732267241816053}",dgp4,epds,Mixed nonlinear,EPDS,0.5
7,False,0.6278906030787783,0.136989461766622,0.3593912580161992,0.8963899481413574,epds,"[('cubic', 0, 1), ('log', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None)]",[],"{('cubic', 0, 1): 4.970527972980568, ('log', 2, None): -5.137790409162032}",{},dgp4,epds,Mixed nonlinear,EPDS,0.5
8,False,1.1625300507475447,0.2894303850644809,0.5952464960211622,1.729813605473927,epds,"[('cubic', 0, 1)]","[('int', 9, 18), ('int', 9, 20), ('int', 9, 33)]","[('cubic', 0, 1), ('int', 9, 18)]","[('int', 9, 18)]","{('cubic', 0, 1): 5.2602382760108535}","{('int', 9, 18): 0.21682853078551803}",dgp4,epds,Mixed nonlinear,EPDS,0.5
9,False,0.6839113494975374,0.23710869904576248,0.21917829936784294,1.1486443996272317,epds,"[('cubic', 0, 1), ('int', 3, 4)]",[],"[('cubic', 0, 1), ('int', 3, 4)]",[],"{('cubic', 0, 1): 4.9486487207333125, ('int', 3, 4): 2.844504453618826}",{},dgp4,epds,Mixed nonlinear,EPDS,0.5
