seed,failed,beta_hat,se,ci_low,ci_high,dgp,estimator,dgp_label,est_label,beta0
0,False,0.6499451539096625,0.42239736056584665,-0.177953672799397,1.4778439806187218,dgp4,pds_lasso,Mixed nonlinear,PDS-LASSO,0.5
1,False,0.1601670744439294,0.4186791384711447,-0.6604440369595141,0.980778185847373,dgp4,pds_lasso,Mixed nonlinear,PDS-LASSO,0.5
2,False,1.0959622585346107,0.42807331542711974,0.256938560297456,1.9349859567717655,dgp4,pds_lasso,Mixed nonlinear,PDS-LASSO,0.5
3,False,0.5815931644831519,0.5379373176353629,-0.4727639780821594,1.6359503070484633,dgp4,pds_lasso,Mixed nonlinear,PDS-LASSO,0.5
4,False,0.6963990970711684,0.3984414195185926,-0.08454608518527296,1.47734427932761,dgp4,pds_lasso,Mixed nonlinear,PDS-LASSO,0.5
5,False,0.42627867336867287,0.4039613908020934,-0.36548565260343024,1.218042999340776,dgp4,pds_lasso,Mixed nonlinear,PDS-LASSO,0.5
6,False,0.10527440503178108,0.3391703299268226,-0.5594994416247913,0.7700482516883534,dgp4,pds_lasso,Mixed nonlinear,PDS-LASSO,0.5
7,False,0.5561578166183035,0.3933287124314673,-0.2147664597473723,1.3270820929839795,dgp4,pds_lasso,Mixed nonlinear,PDS-LASSO,0.5
8,False,1.030958903398099,0.37423544058534586,0.2974574398508212,1.764460366945377,dgp4,pds_lasso,Mixed nonlinear,PDS-LASSO,0.5
9,False,0.4970212482994595,0.3886661424474803,-0.26476439089760195,1.258806887496521,dgp4,pds_lasso,Mixed nonlinear,PDS-LASSO,0.5
