eq_y,eq_d,loss_y,loss_d,terms_added,dict_size,n_selected,S_y,S_d,S_union
(x0 + x0 - x1 - x1 + x2 - x3)*2.5748425,x34*0.14580563,2.7318606,0.83202416,0,50,6,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]",[],"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]"
(x0 + x0 - x1 + x2 - (x1 + x3))*2.5100503,(-x30 + x46)*(0.0206517392128369*x39**2*(x23 - x46)**2 + 0.0689166821448169*x40**2),2.6538343,0.8475718,2,52,7,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]",[np.int64(51)],"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(51)]"
x2 + x2*1.9474303 + x4 + (-x3 + (x0 - x1)*1.6271682)*3.033053,x33*0.11249592,2.1337366,0.8663978,0,50,6,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]",[],"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]"
x4 + (x0 + x0 - x1 - x3 - (x1 - x2))*2.589806,(x3 + x42*(x19**2 - 1.9051124))*0.09891127,2.4349103,0.9772349,1,51,6,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]",[],"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]"
((x0 - x1)*1.6722068 - (-x2 + x3))*3.004343,(x11*x22 - x49*(-x22**2 + x35 + x36))*x32*(-0.12116996),2.2904687,0.9345476,1,51,7,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(20)]",[],"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(20)]"
x43*0.13908374 + (x2 - x3 + (x0 - x1)*1.712343)*2.9426436,x37**2*(-0.08082692),2.053649,1.0125097,1,51,7,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]",[np.int64(50)],"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(50)]"
-x1 + x4 - (x0*(-1.6423296) + x5) + (x0 - x3 - (x1 - x2))*3.2959197,(x49**2 - (x30*(x37 + x42) + x6 + (x12 + x42)**2))*(-0.066389665)*x32,1.8096114,0.93789715,1,51,6,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]",[],"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]"
x4 - x5 + (x2 - x3 + (x0 - x1)*1.6894058)*2.9646358,x33*(-0.12157284),1.2442573,0.9153549,0,50,6,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]",[],"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]"
-x5 + (x0 + (x1*(-1.6628647) + x2 - x3)*0.6035095)*4.9790454,-0.082469*x33**2 + (x30 + x46**2)*x45*0.07786502,2.2346222,0.93553114,2,52,7,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]",[np.int64(51)],"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(51)]"
-x5 - (-x0 + x1 - x4) + (x2 - x3 - (-x0 + x1))*3.4523144,x43*0.14503147,2.0073278,0.9250986,0,50,6,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]",[],"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)]"
