dgp,dgp_label,estimator,est_label,bias,rmse,coverage,size,std,n_reps,median
dgp1,Linear,dml_lasso,DML-LASSO,0.0013,0.0489,0.956,1.0,0.049,500,
dgp1,Linear,dml_nn,DML-NN,0.0885,0.1424,0.894,0.992,0.1118,500,
dgp1,Linear,dml_rf,DML-RF,-0.0113,0.1417,0.984,0.86,0.1414,500,
dgp1,Linear,full_ols,Full OLS,0.001,0.0476,0.952,1.0,0.0477,500,
dgp1,Linear,pds_lasso,PDS-LASSO,0.0001,0.0454,0.952,1.0,0.0455,500,
dgp1,Linear,sr_pds,SR-PDS,0.0,0.0457,0.948,1.0,0.0457,500,
dgp2,Quadratic,dml_lasso,DML-LASSO,0.0004,0.3829,0.942,0.262,0.3833,500,
dgp2,Quadratic,dml_nn,DML-NN,0.0378,0.3901,0.946,0.318,0.3887,500,
dgp2,Quadratic,dml_rf,DML-RF,-0.0016,0.2161,0.962,0.612,0.2163,500,
dgp2,Quadratic,full_ols,Full OLS,-0.0004,0.3878,0.946,0.26,0.3881,500,
dgp2,Quadratic,pds_lasso,PDS-LASSO,-0.0158,0.3766,0.944,0.26,0.3767,500,
dgp2,Quadratic,sr_pds,SR-PDS,-0.0097,0.1674,0.94,0.826,0.1673,500,
dgp3,Interactions,dml_lasso,DML-LASSO,-0.0057,0.2652,0.968,0.472,0.2654,500,
dgp3,Interactions,dml_nn,DML-NN,0.0967,0.2935,0.93,0.6,0.2774,500,
dgp3,Interactions,dml_rf,DML-RF,-0.0123,0.2694,0.96,0.434,0.2694,500,
dgp3,Interactions,full_ols,Full OLS,-0.0078,0.2681,0.964,0.438,0.2683,500,
dgp3,Interactions,pds_lasso,PDS-LASSO,-0.0276,0.2583,0.964,0.45,0.257,500,
dgp3,Interactions,sr_pds,SR-PDS,-0.0067,0.1353,0.946,0.888,0.1353,500,
dgp4,Mixed nonlinear,dml_lasso,DML-LASSO,0.0264,0.4094,0.958,0.192,0.4089,500,
dgp4,Mixed nonlinear,dml_nn,DML-NN,0.1653,0.4598,0.948,0.328,0.4295,500,
dgp4,Mixed nonlinear,dml_rf,DML-RF,0.0069,0.3274,0.962,0.32,0.3277,500,
dgp4,Mixed nonlinear,full_ols,Full OLS,0.0287,0.4159,0.956,0.19,0.4153,500,
dgp4,Mixed nonlinear,pds_lasso,PDS-LASSO,0.0128,0.4032,0.958,0.194,0.4034,500,
dgp4,Mixed nonlinear,sr_pds,SR-PDS,-0.0145,0.2614,0.93,0.592,0.2612,500,
dgp5,NL + linear conf.,dml_lasso,DML-LASSO,0.02,0.3597,0.968,0.188,0.3595,500,
dgp5,NL + linear conf.,dml_nn,DML-NN,0.2049,0.3988,0.918,0.546,0.3425,500,
dgp5,NL + linear conf.,dml_rf,DML-RF,-0.1248,0.243,0.96,0.234,0.2087,500,
dgp5,NL + linear conf.,full_ols,Full OLS,0.0287,0.4159,0.956,0.19,0.4153,500,
dgp5,NL + linear conf.,pds_lasso,PDS-LASSO,0.014,0.4042,0.958,0.188,0.4044,500,
dgp5,NL + linear conf.,sr_pds,SR-PDS,-0.0168,0.2435,0.946,0.61,0.2431,500,
dgp6,NL + mild NL conf.,dml_lasso,DML-LASSO,1.2147,1.2309,0.0,1.0,0.1993,500,
dgp6,NL + mild NL conf.,dml_nn,DML-NN,1.1334,1.1527,0.002,1.0,0.2104,500,
dgp6,NL + mild NL conf.,dml_rf,DML-RF,1.3196,1.3326,0.0,1.0,0.1859,500,
dgp6,NL + mild NL conf.,full_ols,Full OLS,1.2003,1.216,0.0,1.0,0.1951,500,
dgp6,NL + mild NL conf.,pds_lasso,PDS-LASSO,1.1726,1.1882,0.0,1.0,0.1925,500,
dgp6,NL + mild NL conf.,sr_pds,SR-PDS,-0.0253,0.2161,0.95,0.632,0.2148,500,
dgp7,NL + severe NL conf.,dml_lasso,DML-LASSO,1.6311,1.6369,0.0,1.0,0.1374,500,
dgp7,NL + severe NL conf.,dml_nn,DML-NN,1.5677,1.5754,0.0,1.0,0.1561,500,
dgp7,NL + severe NL conf.,dml_rf,DML-RF,1.4433,1.4517,0.0,1.0,0.1557,500,
dgp7,NL + severe NL conf.,full_ols,Full OLS,1.5985,1.6039,0.0,1.0,0.132,500,
dgp7,NL + severe NL conf.,pds_lasso,PDS-LASSO,1.589,1.5945,0.0,1.0,0.1324,500,
dgp7,NL + severe NL conf.,sr_pds,SR-PDS,0.1103,0.4235,0.834,0.72,0.4093,500,
dgp8,Weak NL conf. (dummies),dml_lasso,DML-LASSO,0.7822,0.8901,0.492,0.852,0.4253,500,
dgp8,Weak NL conf. (dummies),dml_nn,DML-NN,0.7902,0.8974,0.498,0.862,0.4257,500,
dgp8,Weak NL conf. (dummies),dml_rf,DML-RF,0.6231,0.7085,0.498,0.91,0.3376,500,
dgp8,Weak NL conf. (dummies),full_ols,Full OLS,0.7702,0.8787,0.504,0.842,0.4235,500,
dgp8,Weak NL conf. (dummies),pds_lasso,PDS-LASSO,0.7363,0.8429,0.518,0.844,0.4108,500,
dgp8,Weak NL conf. (dummies),sr_pds,SR-PDS,-0.0129,0.2952,0.912,0.544,0.2953,500,
dgp6,NL + mild NL conf.,sr_pds_cf,SR-PDS (CF),0.0868,0.2646,0.87,0.73,0.2512,100,0.5967
dgp7,NL + severe NL conf.,sr_pds_cf,SR-PDS (CF),0.0403,0.178,0.91,0.97,0.1742,100,0.5195
dgp8,Weak NL conf. (dummies),sr_pds_cf,SR-PDS (CF),0.0854,0.3067,0.9,0.63,0.296,100,0.5991
dgp1,,,,-0.0018,0.0455,0.944,1.0,0.0455,500,0.5015
dgp2,,,,-0.0015,0.0452,0.952,1.0,0.0452,500,0.4986
dgp3,,,,-0.001,0.0452,0.948,1.0,0.0452,500,0.5005
dgp4,,,,-0.3727,0.4287,0.604,0.076,0.2121,500,0.1206
dgp5,,,,-0.3793,0.4385,0.62,0.066,0.2202,500,0.13
dgp6,,,,-0.3727,0.4288,0.602,0.076,0.2123,500,0.1206
dgp7,,,,0.5476,0.5719,0.06,1.0,0.1651,500,1.0511
dgp8,,,,-0.3993,0.4544,0.53,0.078,0.217,500,0.0911
