seed,failed,beta_hat,se,ci_low,ci_high,dgp,estimator,dgp_label,est_label,beta0
0,False,0.5077255055008206,0.12318246236592044,0.2662878792636166,0.7491631317380247,dgp1,dml_nn,Linear,DML-NN,0.5
1,False,0.2158985297789154,0.18403009422232194,-0.1448004548968356,0.5765975144546664,dgp1,dml_nn,Linear,DML-NN,0.5
2,False,0.5706091255115162,0.12812668219770437,0.31948082840401565,0.8217374226190168,dgp1,dml_nn,Linear,DML-NN,0.5
3,False,0.521256751620828,0.13632410139168,0.25406151289313517,0.7884519903485208,dgp1,dml_nn,Linear,DML-NN,0.5
4,False,0.6506355216770058,0.11847066755815759,0.4184330132630169,0.8828380300909946,dgp1,dml_nn,Linear,DML-NN,0.5
5,False,0.6305153568754279,0.1250756558982412,0.38536707131487513,0.8756636424359807,dgp1,dml_nn,Linear,DML-NN,0.5
6,False,0.46721412829139575,0.11528022375404272,0.24126488973347202,0.6931633668493195,dgp1,dml_nn,Linear,DML-NN,0.5
7,False,0.7669841110966681,0.12184664779515354,0.5281646814181671,1.005803540775169,dgp1,dml_nn,Linear,DML-NN,0.5
8,False,0.6086483069268406,0.10775829226965604,0.39744205407831473,0.8198545597753664,dgp1,dml_nn,Linear,DML-NN,0.5
9,False,0.6042149851439474,0.13399212604567215,0.34159041809443,0.8668395521934649,dgp1,dml_nn,Linear,DML-NN,0.5
10,False,0.717341315728337,0.11797666441285762,0.4861070534791361,0.948575577977538,dgp1,dml_nn,Linear,DML-NN,0.5
11,False,0.7636493208667383,0.11438542880469642,0.5394538804095333,0.9878447613239433,dgp1,dml_nn,Linear,DML-NN,0.5
12,False,0.5924280217925671,0.10845832296979399,0.37984970877177093,0.8050063348133634,dgp1,dml_nn,Linear,DML-NN,0.5
13,False,0.7310233767617627,0.11092880218678336,0.5136029244756672,0.9484438290478581,dgp1,dml_nn,Linear,DML-NN,0.5
14,False,0.5545432926605455,0.13183504342878877,0.2961466075401195,0.8129399777809714,dgp1,dml_nn,Linear,DML-NN,0.5
15,False,0.5546650159843868,0.0970539692019368,0.36443923634859066,0.7448907956201829,dgp1,dml_nn,Linear,DML-NN,0.5
16,False,0.6100532336297293,0.13125675902328185,0.3527899859440969,0.8673164813153618,dgp1,dml_nn,Linear,DML-NN,0.5
17,False,0.5357485241908664,0.125304311119758,0.29015207439614066,0.7813449739855921,dgp1,dml_nn,Linear,DML-NN,0.5
18,False,0.6814852700036735,0.13051336113917544,0.4256790821708897,0.9372914578364574,dgp1,dml_nn,Linear,DML-NN,0.5
19,False,0.5560234467013397,0.12293069369326222,0.3150792870625458,0.7969676063401336,dgp1,dml_nn,Linear,DML-NN,0.5
20,False,0.40384873628858414,0.11216930402833658,0.18399690039304445,0.6237005721841238,dgp1,dml_nn,Linear,DML-NN,0.5
21,False,0.426145479984109,0.11838975017550754,0.19410156964011424,0.6581893903281038,dgp1,dml_nn,Linear,DML-NN,0.5
22,False,0.5485666447799843,0.1054436299707525,0.34189713003730937,0.7552361595226592,dgp1,dml_nn,Linear,DML-NN,0.5
23,False,0.4761165295491623,0.11207248375769796,0.2564544613840743,0.6957785977142503,dgp1,dml_nn,Linear,DML-NN,0.5
24,False,0.5460179118594114,0.10915502319379607,0.3320740663995711,0.7599617573192516,dgp1,dml_nn,Linear,DML-NN,0.5
25,False,0.609619141333128,0.13311056685151024,0.34872243030416794,0.8705158523620881,dgp1,dml_nn,Linear,DML-NN,0.5
26,False,0.5426786174613388,0.1369268667277737,0.27430195867490237,0.8110552762477753,dgp1,dml_nn,Linear,DML-NN,0.5
27,False,0.46060131639314816,0.12444134360527809,0.21669628292680312,0.7045063498594932,dgp1,dml_nn,Linear,DML-NN,0.5
28,False,0.7467253763005097,0.11520145463646925,0.5209305252130301,0.9725202273879894,dgp1,dml_nn,Linear,DML-NN,0.5
29,False,0.6328721170608486,0.11693590227605855,0.4036777485997738,0.8620664855219233,dgp1,dml_nn,Linear,DML-NN,0.5
30,False,0.6507497120851657,0.11589703553443961,0.42359152243766407,0.8779079017326674,dgp1,dml_nn,Linear,DML-NN,0.5
31,False,0.4244949807880649,0.12364200583422827,0.1821566493529775,0.6668333122231523,dgp1,dml_nn,Linear,DML-NN,0.5
32,False,0.45769481053707495,0.11371275733782103,0.23481780615494574,0.6805718149192042,dgp1,dml_nn,Linear,DML-NN,0.5
33,False,0.7477599644214998,0.12265327390425014,0.5073595475691696,0.9881603812738301,dgp1,dml_nn,Linear,DML-NN,0.5
34,False,0.6363463440759131,0.10796465170374266,0.4247356267365775,0.8479570614152486,dgp1,dml_nn,Linear,DML-NN,0.5
35,False,0.5500939867329515,0.13543416076607598,0.2846430316314426,0.8155449418344605,dgp1,dml_nn,Linear,DML-NN,0.5
36,False,0.6231044173481818,0.11450528214842157,0.3986740643372755,0.8475347703590881,dgp1,dml_nn,Linear,DML-NN,0.5
37,False,0.4378363585324439,0.1379544659495607,0.16744560527130492,0.7082271117935829,dgp1,dml_nn,Linear,DML-NN,0.5
38,False,0.6253450182787913,0.12536895311847998,0.37962187016657056,0.871068166391012,dgp1,dml_nn,Linear,DML-NN,0.5
39,False,0.6166775968787618,0.12149220265719754,0.3785528796706546,0.854802314086869,dgp1,dml_nn,Linear,DML-NN,0.5
40,False,0.7096983828164474,0.12183237726169426,0.47090692338352663,0.9484898422493682,dgp1,dml_nn,Linear,DML-NN,0.5
41,False,0.41759499196071964,0.10908914327654409,0.20378027113869324,0.631409712782746,dgp1,dml_nn,Linear,DML-NN,0.5
42,False,0.5597417565326043,0.11264455716946249,0.33895842448045777,0.7805250885847508,dgp1,dml_nn,Linear,DML-NN,0.5
43,False,0.5406932355256598,0.12343607889566109,0.2987585208901641,0.7826279501611556,dgp1,dml_nn,Linear,DML-NN,0.5
44,False,0.5451813125598122,0.11327639540655846,0.3231595775629576,0.7672030475566667,dgp1,dml_nn,Linear,DML-NN,0.5
45,False,0.6651000201465268,0.12139883059806608,0.4271583121743173,0.9030417281187363,dgp1,dml_nn,Linear,DML-NN,0.5
46,False,0.4651474000583904,0.1291129238557442,0.21208606930113177,0.7182087308156491,dgp1,dml_nn,Linear,DML-NN,0.5
47,False,0.6853979564199365,0.12143401060629957,0.44738729563158935,0.9234086172082836,dgp1,dml_nn,Linear,DML-NN,0.5
48,False,0.5499039578857162,0.12115502663119411,0.3124401056885758,0.7873678100828567,dgp1,dml_nn,Linear,DML-NN,0.5
49,False,0.6911935444107591,0.1259742499340133,0.44428401454009303,0.9381030742814251,dgp1,dml_nn,Linear,DML-NN,0.5
50,False,0.591555576280541,0.11295876452660414,0.37015639780839693,0.8129547547526851,dgp1,dml_nn,Linear,DML-NN,0.5
51,False,0.8426129557162827,0.1110256302127323,0.6250027204993274,1.060223190933238,dgp1,dml_nn,Linear,DML-NN,0.5
52,False,0.5216048237950258,0.11095301990385426,0.3041369047834715,0.7390727428065802,dgp1,dml_nn,Linear,DML-NN,0.5
53,False,0.4926536980913331,0.12803342606756557,0.24170818299890456,0.7435992131837617,dgp1,dml_nn,Linear,DML-NN,0.5
54,False,0.4200408017722949,0.11183487929831078,0.2008444383476058,0.639237165196984,dgp1,dml_nn,Linear,DML-NN,0.5
55,False,0.4533929075338655,0.11694117268448628,0.2241882090722724,0.6825976059954586,dgp1,dml_nn,Linear,DML-NN,0.5
56,False,0.5542879028316249,0.13379303389564726,0.29205355639615627,0.8165222492670935,dgp1,dml_nn,Linear,DML-NN,0.5
57,False,0.6948302135547312,0.13046674590113505,0.4391153915885065,0.9505450355209559,dgp1,dml_nn,Linear,DML-NN,0.5
58,False,0.6016193805275483,0.13237680577412464,0.34216084121026397,0.8610779198448326,dgp1,dml_nn,Linear,DML-NN,0.5
59,False,0.6926276483278997,0.10788030244443085,0.48118225553681526,0.9040730411189841,dgp1,dml_nn,Linear,DML-NN,0.5
60,False,0.5056179547078066,0.11262553804859055,0.28487190013256913,0.726364009283044,dgp1,dml_nn,Linear,DML-NN,0.5
61,False,0.5491250051659914,0.124474471975694,0.30515504009363115,0.7930949702383516,dgp1,dml_nn,Linear,DML-NN,0.5
62,False,0.6636900490650928,0.11801529426134798,0.43238007231285075,0.8950000258173347,dgp1,dml_nn,Linear,DML-NN,0.5
63,False,0.5547672111461827,0.11466762248140544,0.330018671082628,0.7795157512097373,dgp1,dml_nn,Linear,DML-NN,0.5
64,False,0.5574770233445878,0.12146311574755131,0.31940931647938725,0.7955447302097884,dgp1,dml_nn,Linear,DML-NN,0.5
65,False,0.6237232659537699,0.11464837171974074,0.3990124573830781,0.8484340745244617,dgp1,dml_nn,Linear,DML-NN,0.5
66,False,0.8251135054797503,0.1251862322858455,0.5797484901994931,1.0704785207600074,dgp1,dml_nn,Linear,DML-NN,0.5
67,False,0.5628211040768237,0.11547540620737759,0.3364893079103637,0.7891529002432838,dgp1,dml_nn,Linear,DML-NN,0.5
68,False,0.668866557673294,0.12421301398851955,0.4254090502557956,0.9123240650907922,dgp1,dml_nn,Linear,DML-NN,0.5
69,False,0.6534111634801336,0.12272067396644662,0.41287864250589823,0.893943684454369,dgp1,dml_nn,Linear,DML-NN,0.5
70,False,0.3947367439971174,0.12288282616775784,0.15388640470831202,0.6355870832859227,dgp1,dml_nn,Linear,DML-NN,0.5
71,False,0.5294875039531977,0.1186550612426794,0.29692358391754603,0.7620514239888493,dgp1,dml_nn,Linear,DML-NN,0.5
72,False,0.563009642308474,0.12692769880530327,0.3142313526500795,0.8117879319668684,dgp1,dml_nn,Linear,DML-NN,0.5
