seed,failed,beta_hat,se,ci_low,ci_high,sr_pds_variant,epds_variant,pre_lasso_terms_y,pre_lasso_terms_d,post_lasso_terms_y,post_lasso_terms_d,term_coefs_y,term_coefs_d,dgp,estimator,dgp_label,est_label,beta0
0,False,0.4871645824313267,0.32771936034267724,-0.1551653638403207,1.129494528702974,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
1,False,0.1816969059419845,0.1700055966023186,-0.15151406339855994,0.5149078752825289,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]",[],"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
2,False,0.6192744218893182,0.2684508450633177,0.09311076556521558,1.145438078213421,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
3,False,0.6758956162943373,0.22577460730764673,0.23337738597134966,1.1184138466173248,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
4,False,0.5707466690208672,0.20241120734931595,0.174020702616208,0.9674726354255265,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None), ('sqrt', 2, None)]",[],"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None), ('sqrt', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
5,False,0.6008526006877035,0.18699380948944921,0.23434473408838308,0.967360467287024,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None), ('sqrt', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None), ('sqrt', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
6,False,0.5922758619246693,0.2297219536987503,0.14202083267511872,1.04253089117422,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('int', 0, 1), ('int', 3, 4), ('log', 2, None)]",[],"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
7,False,0.7134120708041262,0.20601815162203857,0.3096164936249306,1.1172076479833217,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]",[],"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
8,False,1.0246327919359282,0.2033822767721358,0.626003529462542,1.4232620544093142,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]",[],"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
9,False,0.4988544002433834,0.2802993893300803,-0.05053240284357402,1.0482412033303408,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
