seed,failed,beta_hat,se,ci_low,ci_high,dgp,estimator,dgp_label,est_label,beta0
0,False,1.1992635470371633,0.377305658028419,0.4597444573014622,1.9387826367728644,dgp8,dml_lasso,Weak NL conf. (dummies),DML-LASSO,0.5
1,False,1.8215065005503834,0.4152200426807987,1.007675216896018,2.635337784204749,dgp8,dml_lasso,Weak NL conf. (dummies),DML-LASSO,0.5
2,False,1.5711857093584036,0.38687093848068754,0.812918669936256,2.329452748780551,dgp8,dml_lasso,Weak NL conf. (dummies),DML-LASSO,0.5
3,False,0.8851296243887715,0.4969460865677912,-0.0888847052840992,1.8591439540616421,dgp8,dml_lasso,Weak NL conf. (dummies),DML-LASSO,0.5
4,False,1.9322300984217486,0.3769081714893377,1.1934900823026466,2.6709701145408506,dgp8,dml_lasso,Weak NL conf. (dummies),DML-LASSO,0.5
5,False,1.8626251854132665,0.4289850039945043,1.0218145775840382,2.7034357932424946,dgp8,dml_lasso,Weak NL conf. (dummies),DML-LASSO,0.5
6,False,0.8249674994120382,0.3959504922607515,0.04890453458096522,1.6010304642431112,dgp8,dml_lasso,Weak NL conf. (dummies),DML-LASSO,0.5
7,False,1.5409195548193264,0.3597227951276862,0.8358628763690615,2.2459762332695914,dgp8,dml_lasso,Weak NL conf. (dummies),DML-LASSO,0.5
8,False,0.45630606867086815,0.4140060529805239,-0.3551457951709586,1.2677579325126949,dgp8,dml_lasso,Weak NL conf. (dummies),DML-LASSO,0.5
9,False,0.6980360060896069,0.37514051320317493,-0.0372393997886159,1.4333114119678299,dgp8,dml_lasso,Weak NL conf. (dummies),DML-LASSO,0.5
10,False,1.3143253648752509,0.42662733344485415,0.4781357913233367,2.150514938427165,dgp8,dml_lasso,Weak NL conf. (dummies),DML-LASSO,0.5
11,False,1.2809837611823154,0.396927378847357,0.5030060986414957,2.058961423723135,dgp8,dml_lasso,Weak NL conf. (dummies),DML-LASSO,0.5
12,False,0.7524159575887426,0.42534286112358505,-0.08125605021348414,1.5860879653909694,dgp8,dml_lasso,Weak NL conf. (dummies),DML-LASSO,0.5
13,False,2.0165975055120433,0.44294514085812214,1.148425029430124,2.884769981593963,dgp8,dml_lasso,Weak NL conf. (dummies),DML-LASSO,0.5
14,False,1.669878007122381,0.4153522351235923,0.8557876262801402,2.483968387964622,dgp8,dml_lasso,Weak NL conf. (dummies),DML-LASSO,0.5
15,False,0.8501975841278272,0.39747746451365257,0.07114175368106823,1.629253414574586,dgp8,dml_lasso,Weak NL conf. (dummies),DML-LASSO,0.5
16,False,0.7920365441405057,0.3922227370286634,0.02327997956432548,1.560793108716686,dgp8,dml_lasso,Weak NL conf. (dummies),DML-LASSO,0.5
17,False,2.180141618190821,0.42269143694495315,1.3516664017787128,3.0086168346029294,dgp8,dml_lasso,Weak NL conf. (dummies),DML-LASSO,0.5
18,False,2.047939362818526,0.4444103838485572,1.1768950104753537,2.9189837151616977,dgp8,dml_lasso,Weak NL conf. (dummies),DML-LASSO,0.5
19,False,0.9985636619334496,0.3514939022993202,0.30963561342678203,1.687491710440117,dgp8,dml_lasso,Weak NL conf. (dummies),DML-LASSO,0.5
20,False,1.335313682942168,0.3872618035893247,0.5762805479070915,2.0943468179772444,dgp8,dml_lasso,Weak NL conf. (dummies),DML-LASSO,0.5
21,False,1.0101655748475853,0.37936488224315223,0.2666104056510069,1.7537207440441636,dgp8,dml_lasso,Weak NL conf. (dummies),DML-LASSO,0.5
