seed,failed,beta_hat,se,ci_low,ci_high,sr_pds_variant,epds_variant,pre_lasso_terms_y,pre_lasso_terms_d,post_lasso_terms_y,post_lasso_terms_d,term_coefs_y,term_coefs_d,dgp,estimator,dgp_label,est_label,beta0
0,False,0.6169933046405893,0.29179453874678124,0.045076008696898096,1.1889106005842804,sr_pds,sr_pds,"[('cubic', 0, 1)]","[('int', 0, 38), ('int', 3, 6), ('int', 3, 17), ('int', 3, 24), ('int', 6, 24), ('int', 17, 24), ('sq', 24, None)]","[('cubic', 0, 1)]","[('int', 0, 38), ('int', 3, 6), ('int', 6, 24), ('int', 17, 24), ('sq', 24, None)]","{('cubic', 0, 1): 4.690336192500927}","{('int', 0, 38): -0.3543178591874308, ('int', 3, 6): 2.0716478242885534, ('int', 6, 24): -0.3400714645348992, ('int', 17, 24): 0.36981708908002264, ('sq', 24, None): -0.1523902147430838}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
1,False,0.8475907232354294,0.2886898156836945,0.2817586844953882,1.4134227619754705,sr_pds,sr_pds,"[('cubic', 0, 1)]","[('int', 3, 6)]","[('cubic', 0, 1)]","[('int', 3, 6)]","{('cubic', 0, 1): 4.982557787143705}","{('int', 3, 6): 1.8446007540700737}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
2,False,0.7684637420961651,0.15269709229125197,0.46917744120531124,1.067750042987019,sr_pds,sr_pds,"[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 6)]","[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 6)]","{('cubic', 0, 1): 4.995943936570781, ('log', 2, None): -4.998510179704913}","{('int', 3, 6): 1.5873756437679616}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
3,False,0.34456854359211264,0.31055832901699304,-0.2641257812811937,0.953262868465419,sr_pds,sr_pds,"[('cubic', 0, 1)]","[('int', 3, 6)]","[('cubic', 0, 1)]","[('int', 3, 6)]","{('cubic', 0, 1): 5.179288916042805}","{('int', 3, 6): 1.3020639115366055}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
4,False,1.0419803691910394,0.2965754796315515,0.4606924291131985,1.6232683092688802,sr_pds,sr_pds,"[('cubic', 0, 1), ('sq', 0, None)]","[('int', 3, 6)]","[('cubic', 0, 1), ('sq', 0, None)]","[('int', 3, 6)]","{('cubic', 0, 1): 4.980305848014182, ('sq', 0, None): -0.14030450625645793}","{('int', 3, 6): 1.2555359621055104}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
5,False,0.5202558469004017,0.24286560661295717,0.04423925793900568,0.9962724358617978,sr_pds,sr_pds,"[('cubic', 0, 1), ('int', 3, 4)]","[('int', 3, 6)]","[('cubic', 0, 1), ('int', 3, 4)]","[('int', 3, 6)]","{('cubic', 0, 1): 4.9082427886863496, ('int', 3, 4): 3.359418146650429}","{('int', 3, 6): 1.6934466728837678}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
6,False,0.3427158593599197,0.26896613823527965,-0.1844577715812284,0.8698894903010679,sr_pds,sr_pds,"[('cubic', 0, 1)]","[('int', 3, 6)]","[('cubic', 0, 1)]","[('int', 3, 6)]","{('cubic', 0, 1): 5.471778082079303}","{('int', 3, 6): 1.5193041919043166}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
7,False,0.8712690126836613,0.28182364588346254,0.3188946667520748,1.423643358615248,sr_pds,sr_pds,"[('cubic', 0, 1)]","[('int', 3, 6)]","[('cubic', 0, 1)]","[('int', 3, 6)]","{('cubic', 0, 1): 4.847874738091592}","{('int', 3, 6): 2.1767026360597503}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
8,False,0.6785702679149281,0.17924748652356864,0.3272451943287336,1.0298953415011227,sr_pds,sr_pds,"[('cubic', 0, 1), ('sqrt', 2, None)]","[('int', 3, 6)]","[('cubic', 0, 1), ('sqrt', 2, None)]","[('int', 3, 6)]","{('cubic', 0, 1): 4.899072617308064, ('sqrt', 2, None): -14.724278182125385}","{('int', 3, 6): 1.6323591776722708}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
9,False,0.08318996379394251,0.26560158495748565,-0.43738914272272933,0.6037690703106143,sr_pds,sr_pds,"[('cubic', 0, 1)]","[('int', 3, 6)]","[('cubic', 0, 1)]","[('int', 3, 6)]","{('cubic', 0, 1): 4.943707704188359}","{('int', 3, 6): 1.5794331427731307}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
